Tiempo de Inicio,Tiempo de Fin,Duración,Valor Inicial,Valor Final
2024-09-11 12:28:00,2024-09-11 12:30:00,00:02:00,4.1834,4.1985
2024-09-11 12:33:00,2024-09-11 12:35:00,00:02:00,4.2099,4.2027
2024-09-11 12:37:00,2024-09-11 12:37:00,00:00:00,4.1649,4.1649
2024-09-11 12:40:00,2024-09-11 12:40:00,00:00:00,4.202,4.202
2024-09-11 12:42:00,2024-09-11 12:43:00,00:01:00,4.1574,4.1675
2024-09-11 12:45:00,2024-09-11 12:45:00,00:00:00,4.1465,4.1465
2024-09-11 12:48:00,2024-09-11 13:05:00,00:17:00,0.3729,0.3704
2024-09-11 13:09:00,2024-09-11 13:14:00,00:05:00,4.1805,4.1444
2024-09-11 13:16:00,2024-09-11 13:17:00,00:01:00,4.1091,4.1233
2024-09-11 13:20:00,2024-09-11 13:20:00,00:00:00,4.0745,4.0745
2024-09-11 13:22:00,2024-09-11 13:25:00,00:03:00,4.0677,4.0433
2024-09-11 13:28:00,2024-09-11 13:48:00,00:20:00,0.3679,0.3702
2024-09-11 13:52:00,2024-09-11 13:54:00,00:02:00,4.1967,4.1783
2024-09-11 13:56:00,2024-09-11 13:58:00,00:02:00,4.133,4.1363
2024-09-11 14:00:00,2024-09-11 14:07:00,00:07:00,0.3027,0.3027
2024-09-11 14:09:00,2024-09-11 14:14:00,00:05:00,0.3791,0.3797
2024-09-11 14:19:00,2024-09-11 14:19:00,00:00:00,4.2964,4.2964
2024-09-11 14:22:00,2024-09-11 14:25:00,00:03:00,4.2828,4.25
2024-09-11 14:32:00,2024-09-11 14:33:00,00:01:00,4.2809,4.274
2024-09-11 14:41:00,2024-09-11 23:59:00,09:18:00,0.0012,0.0061
2024-09-07 10:23:00,2024-09-09 13:02:00,02:39:00,0.0223,0.0002
2024-09-09 13:04:00,2024-09-11 20:51:00,07:47:00,0.0201,0.0022
2024-09-11 20:53:00,2024-09-11 23:59:00,03:06:00,0.0228,0.0225
2024-09-07 10:23:00,2024-09-07 10:24:00,00:01:00,0.4625,0.4645
2024-09-07 10:27:00,2024-09-07 10:27:00,00:00:00,0.0318,0.0318
2024-09-07 10:31:00,2024-09-07 10:31:00,00:00:00,0.6602,0.6602
2024-09-07 10:34:00,2024-09-07 10:41:00,00:07:00,0.5707,0.5851
2024-09-07 10:45:00,2024-09-07 10:45:00,00:00:00,0.134,0.134
2024-09-07 10:47:00,2024-09-07 10:48:00,00:01:00,0.6492,0.6526
2024-09-07 10:52:00,2024-09-07 10:53:00,00:01:00,0.4852,0.4673
2024-09-07 10:55:00,2024-09-07 11:01:00,00:06:00,0.393,0.3834
2024-09-07 11:04:00,2024-09-07 11:20:00,00:16:00,0.4824,0.4682
2024-09-07 11:23:00,2024-09-07 11:51:00,00:28:00,0.3781,0.3798
2024-09-07 11:54:00,2024-09-07 12:10:00,00:16:00,0.4617,0.4741
2024-09-07 12:13:00,2024-09-07 12:21:00,00:08:00,0.39,0.3839
2024-09-07 12:24:00,2024-09-07 13:00:00,00:36:00,0.4824,0.4702
2024-09-07 13:03:00,2024-09-07 18:27:00,05:24:00,0.3786,0.2966
2024-09-07 18:29:00,2024-09-07 18:30:00,00:01:00,0.0319,0.0319
2024-09-07 18:33:00,2024-09-07 18:33:00,00:00:00,0.6145,0.6145
2024-09-07 18:38:00,2024-09-07 18:38:00,00:00:00,0.3913,0.3913
2024-09-07 18:41:00,2024-09-07 21:50:00,03:09:00,0.2888,0.2902
2024-09-07 21:53:00,2024-09-07 22:16:00,00:23:00,0.1689,0.1754
2024-09-07 22:18:00,2024-09-07 23:20:00,01:02:00,0.2791,0.2841
2024-09-07 23:23:00,2024-09-07 23:51:00,00:28:00,0.1633,0.1639
2024-09-07 23:55:00,2024-09-07 23:55:00,00:00:00,0.3789,0.3789
2024-09-07 23:57:00,2024-09-07 23:58:00,00:01:00,0.2852,0.281
2024-09-08 00:00:00,2024-09-08 00:13:00,00:13:00,0.1638,0.1714
2024-09-08 00:15:00,2024-09-08 00:50:00,00:35:00,0.2741,0.2817
2024-09-08 00:53:00,2024-09-08 01:21:00,00:28:00,0.1606,0.1612
2024-09-08 01:25:00,2024-09-08 01:25:00,00:00:00,0.3598,0.3598
2024-09-08 01:27:00,2024-09-08 01:27:00,00:00:00,0.288,0.288
2024-09-08 01:30:00,2024-09-08 01:58:00,00:28:00,0.1633,0.1596
2024-09-08 02:02:00,2024-09-08 02:02:00,00:00:00,0.3663,0.3663
2024-09-08 02:04:00,2024-09-08 02:05:00,00:01:00,0.2856,0.2793
2024-09-08 02:08:00,2024-09-08 02:27:00,00:19:00,0.1571,0.1598
2024-09-08 02:31:00,2024-09-08 02:32:00,00:01:00,0.0311,0.0323
2024-09-08 02:35:00,2024-09-08 02:35:00,00:00:00,0.5837,0.5837
2024-09-08 02:40:00,2024-09-08 02:40:00,00:00:00,0.3746,0.3746
2024-09-08 02:43:00,2024-09-08 03:02:00,00:19:00,0.2736,0.2778
2024-09-08 03:05:00,2024-09-08 03:33:00,00:28:00,0.1567,0.1594
2024-09-08 03:37:00,2024-09-08 03:37:00,00:00:00,0.3606,0.3606
2024-09-08 03:39:00,2024-09-08 03:40:00,00:01:00,0.284,0.269
2024-09-08 03:42:00,2024-09-08 04:11:00,00:29:00,0.16,0.1717
2024-09-08 04:14:00,2024-09-08 04:14:00,00:00:00,0.3663,0.3663
2024-09-08 04:17:00,2024-09-08 04:17:00,00:00:00,0.2778,0.2778
2024-09-08 04:20:00,2024-09-08 04:48:00,00:28:00,0.1589,0.1602
2024-09-08 04:51:00,2024-09-08 04:51:00,00:00:00,0.3631,0.3631
2024-09-08 04:54:00,2024-09-08 04:54:00,00:00:00,0.2774,0.2774
2024-09-08 04:57:00,2024-09-08 05:25:00,00:28:00,0.158,0.1591
2024-09-08 05:31:00,2024-09-08 05:31:00,00:00:00,0.2832,0.2832
2024-09-08 05:34:00,2024-09-08 06:02:00,00:28:00,0.155,0.159
2024-09-08 06:06:00,2024-09-08 06:06:00,00:00:00,0.3583,0.3583
2024-09-08 06:08:00,2024-09-08 06:09:00,00:01:00,0.2819,0.2638
2024-09-08 06:11:00,2024-09-08 06:40:00,00:29:00,0.1578,0.1731
2024-09-08 06:43:00,2024-09-08 06:43:00,00:00:00,0.3634,0.3634
2024-09-08 06:45:00,2024-09-08 06:46:00,00:01:00,0.2808,0.2755
2024-09-08 06:49:00,2024-09-08 07:17:00,00:28:00,0.1563,0.1588
2024-09-08 07:20:00,2024-09-08 07:20:00,00:00:00,0.3637,0.3637
2024-09-08 07:23:00,2024-09-08 07:23:00,00:00:00,0.2806,0.2806
2024-09-08 07:26:00,2024-09-08 07:39:00,00:13:00,0.1606,0.1765
2024-09-08 07:41:00,2024-09-08 10:24:00,02:43:00,0.2775,0.3553
2024-09-08 10:26:00,2024-09-08 10:31:00,00:05:00,0.3284,0.3053
2024-09-08 10:33:00,2024-09-08 10:34:00,00:01:00,0.0317,0.0329
2024-09-08 10:40:00,2024-09-08 10:45:00,00:05:00,0.5652,0.5571
2024-09-08 10:47:00,2024-09-08 10:48:00,00:01:00,0.5815,0.5943
2024-09-08 10:53:00,2024-09-08 11:07:00,00:14:00,0.4742,0.4584
2024-09-08 11:10:00,2024-09-08 11:28:00,00:18:00,0.3353,0.3498
2024-09-08 11:30:00,2024-09-08 11:47:00,00:17:00,0.3688,0.3758
2024-09-08 11:50:00,2024-09-08 11:57:00,00:07:00,0.4785,0.4494
2024-09-08 11:59:00,2024-09-08 12:17:00,00:18:00,0.3426,0.3781
2024-09-08 12:20:00,2024-09-08 12:37:00,00:17:00,0.4698,0.4564
2024-09-08 12:39:00,2024-09-08 13:57:00,01:18:00,0.3667,0.3571
2024-09-08 13:59:00,2024-09-08 18:33:00,04:34:00,0.3346,0.3169
2024-09-08 18:36:00,2024-09-08 18:36:00,00:00:00,0.0315,0.0315
2024-09-08 18:47:00,2024-09-08 22:57:00,04:10:00,0.2892,0.2976
2024-09-08 23:00:00,2024-09-08 23:16:00,00:16:00,0.1704,0.1693
2024-09-08 23:19:00,2024-09-09 00:27:00,01:08:00,0.2858,0.2838
2024-09-09 00:29:00,2024-09-09 00:52:00,00:23:00,0.1718,0.1735
2024-09-09 00:55:00,2024-09-09 01:47:00,00:52:00,0.2939,0.2899
2024-09-09 01:50:00,2024-09-09 02:19:00,00:29:00,0.1657,0.1636
2024-09-09 02:25:00,2024-09-09 02:25:00,00:00:00,0.2897,0.2897
2024-09-09 02:28:00,2024-09-09 02:35:00,00:07:00,0.1642,0.162
2024-09-09 02:38:00,2024-09-09 02:38:00,00:00:00,0.0314,0.0314
2024-09-09 02:42:00,2024-09-09 02:42:00,00:00:00,0.5708,0.5708
2024-09-09 02:49:00,2024-09-09 03:26:00,00:37:00,0.2886,0.2853
2024-09-09 03:29:00,2024-09-09 03:58:00,00:29:00,0.1617,0.1625
2024-09-09 04:01:00,2024-09-09 04:01:00,00:00:00,0.3821,0.3821
2024-09-09 04:04:00,2024-09-09 04:04:00,00:00:00,0.2865,0.2865
2024-09-09 04:07:00,2024-09-09 04:30:00,00:23:00,0.1604,0.1604
2024-09-09 04:33:00,2024-09-09 04:59:00,00:26:00,0.2779,0.2819
2024-09-09 05:02:00,2024-09-09 05:30:00,00:28:00,0.1604,0.1615
2024-09-09 05:34:00,2024-09-09 05:34:00,00:00:00,0.3708,0.3708
2024-09-09 05:36:00,2024-09-09 05:37:00,00:01:00,0.2848,0.2664
2024-09-09 05:39:00,2024-09-09 06:08:00,00:29:00,0.1614,0.1777
2024-09-09 06:11:00,2024-09-09 06:11:00,00:00:00,0.3786,0.3786
2024-09-09 06:14:00,2024-09-09 06:14:00,00:00:00,0.2781,0.2781
2024-09-09 06:17:00,2024-09-09 06:45:00,00:28:00,0.1565,0.1579
2024-09-09 06:48:00,2024-09-09 06:48:00,00:00:00,0.3786,0.3786
2024-09-09 06:51:00,2024-09-09 06:51:00,00:00:00,0.283,0.283
2024-09-09 06:54:00,2024-09-09 07:15:00,00:21:00,0.158,0.1672
2024-09-09 07:18:00,2024-09-09 07:50:00,00:32:00,0.2762,0.2754
2024-09-09 07:52:00,2024-09-09 08:06:00,00:14:00,0.164,0.1722
2024-09-09 08:09:00,2024-09-09 08:18:00,00:09:00,0.2916,0.2728
2024-09-09 08:20:00,2024-09-09 08:33:00,00:13:00,0.305,0.2746
2024-09-09 08:35:00,2024-09-09 08:35:00,00:00:00,0.3067,0.3067
2024-09-09 08:37:00,2024-09-09 08:51:00,00:14:00,0.255,0.255
2024-09-09 08:53:00,2024-09-09 08:55:00,00:02:00,0.3076,0.2996
2024-09-09 08:57:00,2024-09-09 09:10:00,00:13:00,0.1766,0.1766
2024-09-09 09:12:00,2024-09-09 09:19:00,00:07:00,0.3035,0.3037
2024-09-09 09:22:00,2024-09-09 09:22:00,00:00:00,0.3034,0.3034
2024-09-09 09:24:00,2024-09-09 09:28:00,00:04:00,0.0168,0.0168
2024-09-09 09:31:00,2024-09-09 09:31:00,00:00:00,0.6524,0.6524
2024-09-09 09:33:00,2024-09-09 09:33:00,00:00:00,0.5718,0.5718
2024-09-09 09:35:00,2024-09-09 09:40:00,00:05:00,0.4745,0.4767
2024-09-09 09:45:00,2024-09-09 10:22:00,00:37:00,0.3156,0.3431
2024-09-09 10:24:00,2024-09-09 10:44:00,00:20:00,0.36,0.3221
2024-09-09 10:47:00,2024-09-09 11:42:00,00:55:00,0.3279,0.382
2024-09-09 11:44:00,2024-09-09 12:01:00,00:17:00,0.4714,0.4701
