Consumo_T,Aula Medios,Cubiculos,Direccion 1,Direccion 2,Rack,Sala Juntas,Maestros 1,Maestros 2,L1,L2,L3,Aula_Medios_Pred,Cubiculos_Pred,Direccion1_Pred,Direccion2_Pred,Rack_Pred,Sala_Juntas_Pred,Maestros1_Pred,Maestros2_Pred
0.8787,0.0108,0.0,0.0234,0.026,0.1628,0.1083,0.0023,0.0115,0.2624,0.0596,0.2116,0.01117993571428571,0.0,0.023300100000000032,0.026099242857142827,0.1708270309523812,0.10850489999999992,0.0024443047619047606,0.011381569047619047
0.8788,0.0112,0.0,0.0231,0.026,0.1629,0.1081,0.002,0.0115,0.2622,0.0599,0.2119,0.011813819047619049,0.0,0.02308163333333333,0.026297276190476192,0.19534585873015875,0.10890986666666665,0.0027618269841269854,0.011238107936507938
0.8788,0.0123,0.0,0.023,0.0261,0.1629,0.108,0.0025,0.0107,0.262,0.0598,0.2115,0.011813819047619049,0.0,0.02308163333333333,0.026297276190476192,0.19534585873015875,0.10890986666666665,0.0027618269841269854,0.011238107936507938
0.8105,0.0111,0.0,0.0228,0.0261,0.1627,0.1084,0.0029,0.0116,0.1935,0.0597,0.2117,0.012102971428571429,0.0,0.02322550000000005,0.026460478571428594,0.16570649285714303,0.11006900714285708,0.001996978571428571,0.010662549999999998
0.8053,0.0115,0.0,0.023,0.026,0.1634,0.1083,0.0038,0.0116,0.1865,0.0597,0.2115,0.011255400000000002,0.0,0.02312553333333331,0.026096266666666677,0.16658826666666635,0.10818740000000002,0.0028587333333333336,0.011533266666666679
0.8045,0.0114,0.0,0.0233,0.0259,0.1647,0.1083,0.002,0.0104,0.1864,0.0598,0.2123,0.012084541269841266,0.0,0.02327413134920637,0.026406219444444448,0.18410057539682526,0.11030467619047617,0.0036458206349206344,0.011174018650793647
0.8066,0.0114,0.0,0.0231,0.0261,0.1649,0.1087,0.0032,0.0109,0.1863,0.0597,0.2123,0.01122430238095238,0.0,0.02307339047619047,0.026076830952380954,0.16541478571428567,0.10810792261904761,0.003656877380952383,0.011110857142857145
0.9709,0.0126,0.0,0.0229,0.026,0.1638,0.1085,0.0041,0.0109,0.1859,0.2242,0.212,0.012526499999999987,0.0,0.02279699999999997,0.02612499999999998,0.21472749999999988,0.10895149999999988,0.0039310000000000005,0.010990000000000002
1.2447,0.0147,0.0,0.0227,0.026,0.1632,0.1087,0.0081,0.0114,0.1853,0.4927,0.2119,0.014547833333333322,0.0,0.022939166666666674,0.02631966666666665,0.1639584999999999,0.10949533333333339,0.007938500000000001,0.011369666666666665
1.5938,0.0146,0.0,0.0229,0.0259,0.1622,0.1085,0.0084,0.0096,0.1853,0.4603,0.5961,0.01417199999999997,0.0,0.022998999999999978,0.03268500000000005,0.1617610000000001,0.10884599999999998,0.0074449999999999916,0.009913000000000019
1.6913,0.0147,0.0,0.0229,0.0261,0.163,0.1089,0.0085,0.0103,0.1849,0.4519,0.7001,0.01319999999999999,0.0,0.02302999999999998,0.03724800000000002,0.17827300000000018,0.10865900000000005,0.005772000000000003,0.010266999999999991
1.4276,0.0148,0.0,0.0229,0.0262,0.1636,0.1088,0.0089,0.0106,0.1852,0.4482,0.4384,0.014400999999999983,0.0,0.02272999999999997,0.10942999999999996,0.1971030000000001,0.10054899999999992,0.00776500000000001,0.010695000000000015
1.1986,0.0142,0.0,0.0231,0.026,0.1637,0.1086,0.0079,0.0116,0.1854,0.446,0.2121,0.014353999999999988,0.0,0.022987999999999963,0.02600699999999999,0.17300100000000004,0.10867499999999987,0.007942000000000006,0.011304000000000014
1.1988,0.0148,0.0,0.023,0.0261,0.1642,0.1086,0.0086,0.0109,0.1855,0.4445,0.2126,0.014695999999999982,0.0,0.022930999999999986,0.02606400000000001,0.17328599999999983,0.10867499999999987,0.00834100000000001,0.010905000000000005
1.1958,0.0144,0.0,0.0228,0.0259,0.1641,0.1086,0.0081,0.0113,0.1855,0.4428,0.2123,0.014351393686868677,0.0,0.022664186471861473,0.02610417579365079,0.16633035941558433,0.10869594826839822,0.0070535272727272735,0.010458815043290041
1.194,0.0148,0.0,0.0228,0.026,0.1639,0.1087,0.0068,0.0117,0.1853,0.4417,0.2123,0.01460410952380951,0.0,0.022776999999999995,0.026025999999999976,0.18292212738095232,0.10875710952380943,0.007092003571428573,0.01143310952380953
1.1933,0.0145,0.0,0.0229,0.0261,0.1642,0.1086,0.0087,0.0108,0.1852,0.4404,0.2119,0.014467533333333312,0.0,0.022912066666666626,0.02607046666666667,0.16528513333333308,0.10853726666666647,0.00812646666666667,0.010850466666666671
1.1921,0.0143,0.0,0.0233,0.0261,0.1647,0.1089,0.0066,0.0113,0.1856,0.4391,0.2122,0.014675116666666654,0.0,0.022771866666666668,0.02608501666666667,0.21582058333333332,0.10803941666666667,0.008529483333333327,0.010914499999999994
1.1925,0.0143,0.0,0.0228,0.0262,0.1655,0.1088,0.0079,0.0111,0.1854,0.4381,0.2124,0.014276566666666662,0.0,0.022721466666666666,0.02612006666666666,0.21807636666666666,0.10828279999999994,0.00823081666666667,0.01100768333333333
1.1914,0.0149,0.0,0.0231,0.0262,0.1655,0.1088,0.0073,0.0106,0.1856,0.4371,0.2123,0.014372166666666655,0.0,0.02316674999999996,0.026359083333333318,0.20357300000000011,0.10944699999999985,0.006635333333333323,0.01060016666666668
1.1906,0.014,0.0,0.023,0.0261,0.1653,0.1086,0.0082,0.0111,0.1857,0.436,0.2126,0.013799333333333316,0.0,0.022759833333333323,0.026126999999999966,0.22484533333333329,0.10855816666666675,0.004891666666666662,0.010427333333333328
1.19,0.0149,0.0,0.0227,0.026,0.1654,0.1089,0.008,0.011,0.1855,0.4351,0.2125,0.014299204761904757,0.0,0.022600395238095223,0.025946719047619027,0.18826619523809504,0.10818695952380962,0.006759485714285716,0.01070522142857143
1.1866,0.0144,0.0,0.023,0.0261,0.1644,0.109,0.0073,0.0108,0.1853,0.434,0.2123,0.014160133333333325,0.0,0.022715666666666644,0.025910533333333357,0.17303719999999995,0.10781106666666668,0.0068515333333333305,0.010532533333333333
1.186,0.0143,0.0,0.0229,0.0261,0.1646,0.1086,0.0078,0.0109,0.1856,0.4326,0.2126,0.014329847619047605,0.0,0.02296915714285711,0.026160814285714293,0.16349556666666673,0.10877426666666659,0.007863071428571431,0.01105705714285715
1.185,0.015,0.0,0.0229,0.0258,0.1643,0.108,0.0091,0.0115,0.1854,0.43,0.213,0.01340053333333333,0.0,0.022442635714285713,0.022783663095238098,0.23710809166666683,0.10718847261904763,0.005536038095238095,0.01035843095238095
1.1794,0.0143,0.0,0.0227,0.0259,0.1636,0.1081,0.0073,0.0114,0.1853,0.4286,0.2122,0.01436914285714284,0.0,0.022735928571428553,0.0260872380952381,0.1628851428571431,0.10888269047619062,0.007089690476190465,0.011073166666666665
1.3369,0.0141,0.0,0.0229,0.0257,0.3285,0.1073,0.005,0.0101,0.1854,0.4258,0.2121,0.014304666666666662,0.0,0.022775466666666633,0.026162799999999993,0.3057665333333334,0.10905906666666665,0.006538533333333333,0.010601599999999996
1.4219,0.0143,0.0,0.0229,0.0256,0.4108,0.1079,0.0076,0.0105,0.1852,0.4253,0.2118,0.014359387301587286,0.0,0.022571644444444438,0.025834774603174585,0.3449714190476192,0.10807296825396825,0.007078869841269843,0.010970742857142852
1.2108,0.0132,0.0,0.0228,0.0257,0.3903,0.1075,0.004,0.0105,0.1858,0.2393,0.2117,0.013632000000000003,0.0,0.022784999999999986,0.025797000000000035,0.30795,0.107658,0.005245000000000003,0.010569999999999998
0.9896,0.0106,0.0,0.0229,0.0259,0.3533,0.1071,0.003,0.0098,0.1864,0.0593,0.2113,0.01145445555555556,0.0,0.023133688888888882,0.02636761111111111,0.3596023277777777,0.10823059999999998,0.0029156888888888905,0.009993227777777775
0.9362,0.0114,0.0,0.0224,0.0258,0.3002,0.1074,0.002,0.0107,0.1863,0.0591,0.2109,0.01140919761904762,0.0,0.022909509523809525,0.026202246825396815,0.26493911230158723,0.10841952579365083,0.002462123809523809,0.011046673015873011
0.9281,0.0119,0.0,0.0224,0.026,0.2897,0.1077,0.0025,0.0104,0.1864,0.0595,0.2116,0.011679709632034638,0.0,0.022771171969696972,0.02630024437229437,0.26636085346320354,0.1084650543290043,0.0028018006493506485,0.010981640367965373
0.8816,0.0111,0.0,0.0228,0.0258,0.2426,0.1076,0.0032,0.0116,0.1862,0.0594,0.2113,0.011923999999999999,0.0,0.022492999999999996,0.02605699999999997,0.2531429999999998,0.10751300000000008,0.0025510000000000003,0.010409999999999997
0.8128,0.0119,0.0,0.023,0.026,0.1731,0.108,0.0033,0.0102,0.1864,0.0594,0.2115,0.011844000000000014,0.0,0.023013999999999982,0.02599899999999998,0.17641699999999993,0.10803500000000002,0.0029790000000000007,0.010354999999999994
0.8015,0.0113,0.0,0.0227,0.0259,0.1642,0.1078,0.002,0.0109,0.1864,0.0593,0.211,0.011667035839160839,0.0,0.0232847854922855,0.026473919347319352,0.1581172641219891,0.11023865194805196,0.0030168648684648688,0.011330053163503162
0.8013,0.0115,0.0,0.023,0.0259,0.1624,0.1078,0.0029,0.0106,0.1865,0.0593,0.2114,0.011588774206349206,0.0,0.02323048611111111,0.026292771428571414,0.15881305119047623,0.11007134285714285,0.002971287301587302,0.011180519841269837
0.7992,0.0115,0.0,0.023,0.0258,0.1609,0.1077,0.0022,0.0112,0.1865,0.0595,0.2109,0.011687177380952379,0.0,0.022906432142857133,0.02608569761904762,0.20723595555555566,0.10908086706349207,0.003138255555555555,0.011136824206349212
0.7983,0.0116,0.0,0.0229,0.0259,0.1595,0.1077,0.0035,0.0106,0.1864,0.0593,0.2109,0.01174082142857143,0.0,0.02264666904761903,0.025946204761904748,0.24112317380952406,0.10742583571428575,0.0034661309523809536,0.01114814047619048
0.7996,0.0113,0.0,0.023,0.0259,0.1602,0.1076,0.0031,0.0117,0.1863,0.0592,0.2113,0.01102347142857143,0.0,0.023429585714285724,0.026367450000000025,0.15720638571428572,0.10987177142857142,0.002985214285714285,0.011461600000000011
0.7984,0.0119,0.0,0.0229,0.0259,0.1609,0.1073,0.0023,0.0103,0.1867,0.0592,0.211,0.011963540476190481,0.0,0.023012142857142835,0.026108352380952386,0.20691969761904772,0.10913933214285713,0.0029292440476190486,0.011189721428571433
0.7976,0.0108,0.0,0.0229,0.0259,0.1608,0.1076,0.0029,0.0104,0.1863,0.0594,0.2106,0.011591116666666686,0.0,0.023554816666666673,0.026473883333333354,0.15636126666666642,0.1105031333333333,0.0032338333333333347,0.010321366666666675
0.7993,0.0107,0.0,0.023,0.026,0.162,0.1076,0.0024,0.0106,0.1866,0.0593,0.2111,0.011127526190476187,0.0,0.023331761904761904,0.02623478571428572,0.15750391190476182,0.10953182380952377,0.00324492619047619,0.011149445238095235
0.743,0.012,0.0,0.0229,0.0259,0.1039,0.1078,0.0024,0.0112,0.1866,0.0594,0.2109,0.0120978,0.0,0.02311519999999998,0.026093733333333355,0.1325171333333333,0.10819693333333325,0.0023842666666666706,0.010927866666666666
0.6712,0.0115,0.0,0.0233,0.0262,0.0318,0.1079,0.003,0.0099,0.1866,0.0593,0.2117,0.011682000000000001,0.0,0.02339250000000002,0.026347000000000013,0.07799649999999984,0.10936700000000013,0.0029770000000000013,0.010282500000000014
0.6721,0.0119,0.0,0.0232,0.0259,0.0314,0.108,0.0032,0.0109,0.1866,0.0595,0.2115,0.01196500000000001,0.0,0.023216750000000026,0.026023000000000015,0.08183324999999991,0.10877400000000007,0.0036174999999999996,0.010975250000000008
0.784,0.0118,0.0,0.0231,0.0259,0.1443,0.1079,0.0031,0.0112,0.1862,0.0595,0.211,0.011848999999999988,0.0,0.023468000000000027,0.02638,0.09553800000000004,0.10892800000000002,0.002142,0.011097000000000008
1.2028,0.0116,0.0,0.0234,0.0259,0.5652,0.1075,0.0013,0.0109,0.1864,0.0594,0.2112,0.012131438095238107,0.0,0.023102980952380968,0.02599296190476192,0.43222573333333314,0.1075860761904762,0.0027603333333333343,0.010717057142857145
1.2237,0.0108,0.0,0.0232,0.0257,0.5859,0.1074,0.0028,0.0114,0.1862,0.0594,0.2109,0.012675457142857133,0.0,0.02243211428571428,0.02539100000000004,0.4426060285714288,0.10619945714285711,0.005738142857142862,0.011097028571428566
1.2078,0.0111,0.0,0.023,0.0259,0.5708,0.1074,0.0027,0.0102,0.1868,0.0593,0.2106,0.01404901666666666,0.0,0.02277201428571425,0.02633101904761906,0.2258089357142858,0.10934908333333336,0.006588985714285714,0.010217014285714289
1.14,0.0103,0.0,0.0231,0.0258,0.5034,0.1076,0.002,0.011,0.1866,0.0593,0.2109,0.011360850000000002,0.0,0.02320320000000001,0.026325499999999998,0.4231911499999999,0.108562,0.002315250000000002,0.010945050000000003
1.0911,0.0111,0.0,0.0232,0.0258,0.4532,0.1074,0.0026,0.0106,0.1868,0.0592,0.2112,0.01146658333333333,0.0,0.023259433333333353,0.026305883333333332,0.38514626666666657,0.10877863333333333,0.0027029999999999975,0.01087530000000001
1.0542,0.0107,0.0,0.0233,0.0257,0.416,0.1072,0.0028,0.0111,0.1864,0.0591,0.2119,0.011042000000000012,0.0,0.023008000000000008,0.02597400000000002,0.37432699999999985,0.1073840000000001,0.0026659999999999995,0.011092000000000006
1.0337,0.0116,0.0,0.0232,0.026,0.392,0.1076,0.0039,0.012,0.1867,0.0592,0.2115,0.01176500000000002,0.0,0.023322000000000044,0.026245999999999974,0.40004500000000015,0.1083779999999999,0.003301999999999998,0.01146300000000001
1.0003,0.0102,0.0,0.0228,0.0259,0.3622,0.1075,0.0035,0.0107,0.1864,0.0594,0.2117,0.010537666666666657,0.0,0.02262633333333332,0.02597800000000001,0.3325573333333336,0.10755166666666667,0.003100000000000003,0.010733000000000008
0.9376,0.0114,0.0,0.0226,0.0256,0.3005,0.1074,0.0026,0.0107,0.1864,0.0591,0.2113,0.011490400000000001,0.0,0.022610799999999993,0.025692799999999988,0.30170459999999977,0.10738060000000006,0.0027475999999999954,0.010659400000000008
1.2327,0.0117,0.0,0.0224,0.0259,0.2886,0.1079,0.0038,0.0109,0.1861,0.059,0.5164,0.011902000000000013,0.0,0.022506000000000005,0.026051000000000005,0.2826269999999999,0.10815900000000013,0.004104000000000005,0.010938000000000003
1.4087,0.0112,0.0,0.0223,0.0259,0.2847,0.1075,0.0041,0.0114,0.186,0.0589,0.6967,0.012384,0.0,0.022495999999999978,0.026208,0.2924190000000005,0.10840800000000003,0.0053469999999999985,0.011315000000000004
1.0687,0.011,0.0,0.0224,0.026,0.2845,0.108,0.0016,0.01,0.2008,0.0595,0.3449,0.011319,0.0,0.02275700000000001,0.026209999999999976,0.31992700000000046,0.10844600000000003,0.0018609999999999994,0.010351000000000008
1.0418,0.0115,0.0,0.0223,0.0258,0.2847,0.1078,0.0026,0.0111,0.3053,0.0594,0.2113,0.011463000000000006,0.0,0.02256199999999998,0.02583399999999998,0.34986000000000045,0.10772899999999985,0.0027239999999999986,0.011001000000000007
1.0161,0.0105,0.0,0.0223,0.0259,0.2868,0.1078,0.0022,0.0109,0.2788,0.0594,0.2115,0.011173599999999995,0.0,0.02258146666666665,0.026164666666666666,0.2846749999999999,0.10861773333333324,0.0027680000000000005,0.011056933333333338
1.0115,0.0108,0.0,0.0225,0.0259,0.2866,0.108,0.0031,0.0102,0.274,0.0596,0.2108,0.011287166666666666,0.0,0.02269791190476189,0.026071860714285723,0.29159633809523805,0.10747911666666674,0.0030368297619047598,0.010489338095238093
1.0089,0.0106,0.0,0.0224,0.0259,0.2859,0.1079,0.0024,0.0099,0.2732,0.0595,0.2112,0.011094733333333336,0.0,0.022745866666666656,0.026080400000000007,0.2558943333333334,0.10827926666666665,0.002765333333333334,0.010702933333333331
1.0093,0.0109,0.0,0.0223,0.026,0.2864,0.1079,0.0023,0.0103,0.2731,0.0594,0.2107,0.010930028571428572,0.0,0.022289978571428563,0.02579840714285714,0.28999423571428573,0.10721100714285715,0.0022749,0.010207692857142854
1.0093,0.0105,0.0,0.0226,0.0259,0.2859,0.1078,0.0023,0.0104,0.2732,0.0595,0.2112,0.010930028571428572,0.0,0.022289978571428563,0.02579840714285714,0.28999423571428573,0.10721100714285715,0.0022749,0.010207692857142854
1.0084,0.0103,0.0,0.0223,0.0259,0.2864,0.1076,0.0017,0.0108,0.2732,0.0597,0.2105,0.010844684126984132,0.0,0.02253259880952381,0.026021205158730146,0.2904673865079366,0.10768080436507929,0.002171477380952382,0.0110711626984127
1.0088,0.0099,0.0,0.0224,0.0259,0.286,0.1074,0.0027,0.0116,0.2723,0.0595,0.2111,0.010892099999999998,0.0,0.022785959523809515,0.026348052380952378,0.28886636666666676,0.10872295238095239,0.002670197619047618,0.011401319047619046
1.0087,0.0116,0.0,0.0227,0.0258,0.2865,0.108,0.0022,0.0106,0.2715,0.0593,0.2105,0.011629523809523817,0.0,0.022670899206349203,0.026038061111111094,0.28886135634920646,0.10781471190476193,0.0021565436507936515,0.011243981746031749
1.0065,0.0111,0.0,0.0224,0.0257,0.2844,0.1079,0.0023,0.0112,0.2708,0.0595,0.2112,0.012598800000000012,0.0,0.02283254999999997,0.026067750000000008,0.2214034500000001,0.10598599999999989,0.005209450000000004,0.010478749999999995
1.0036,0.0117,0.0,0.0225,0.0258,0.2824,0.1077,0.0022,0.0106,0.2704,0.0594,0.2109,0.011630000000000015,0.0,0.02259199999999998,0.025987999999999983,0.2867499999999995,0.10780200000000002,0.002155000000000002,0.010611000000000004
1.0028,0.0107,0.0,0.0227,0.0258,0.2819,0.1083,0.003,0.0098,0.2697,0.0595,0.2114,0.010924666666666678,0.0,0.022747999999999994,0.02592949999999999,0.2910008333333334,0.10833949999999996,0.0030243333333333368,0.010162833333333343
1.0014,0.0108,0.0,0.0229,0.0259,0.282,0.1076,0.0021,0.0109,0.2692,0.0592,0.2108,0.011035419841269836,0.0,0.02274026309523809,0.02610514801587302,0.2852156071428571,0.10821354206349204,0.002234800396825397,0.01046248452380952
1.0026,0.011,0.0,0.0224,0.026,0.2825,0.1079,0.0029,0.0107,0.2688,0.0596,0.2108,0.011175000000000001,0.0,0.022591999999999994,0.026092999999999967,0.2773649999999997,0.1083350000000001,0.002854000000000005,0.010917000000000008
1.0024,0.0116,0.0,0.0226,0.026,0.2825,0.1078,0.0019,0.0113,0.2684,0.0592,0.2111,0.011596000000000021,0.0,0.022778999999999997,0.026147999999999966,0.2757129999999997,0.10844499999999993,0.002246000000000003,0.011422000000000002
1.002,0.0113,0.0,0.0226,0.0258,0.2831,0.1077,0.0024,0.0109,0.2674,0.0596,0.2112,0.011443816666666669,0.0,0.022435266666666665,0.02592016666666665,0.28364519999999993,0.10766621666666655,0.0027871333333333343,0.011258050000000002
0.9995,0.0114,0.0,0.0225,0.0259,0.2832,0.1077,0.0009,0.0104,0.2672,0.0596,0.2107,0.011091880952380949,0.0,0.02246682380952381,0.025988004761904767,0.28405454761904786,0.10779684761904765,0.0020790571428571415,0.01067989523809524
0.9993,0.0116,0.0,0.0226,0.0259,0.2822,0.1077,0.0025,0.0094,0.2668,0.0596,0.211,0.011372983333333331,0.0,0.02258833333333332,0.025939949999999996,0.2849414333333334,0.10749696666666674,0.0025320000000000013,0.010053800000000002
1.002,0.0116,0.0,0.0222,0.026,0.2827,0.1076,0.0032,0.0118,0.2663,0.0597,0.2109,0.011443816666666669,0.0,0.022435266666666665,0.02592016666666665,0.28364519999999993,0.10766621666666655,0.0027871333333333343,0.011258050000000002
1.0007,0.0107,0.0,0.0227,0.0258,0.2833,0.108,0.0024,0.0109,0.266,0.0596,0.2113,0.010856000000000003,0.0,0.022587999999999987,0.02582299999999999,0.29262900000000036,0.107591,0.002180000000000004,0.010872999999999999
1.0011,0.0116,0.0,0.0226,0.0258,0.2831,0.1079,0.003,0.0106,0.2659,0.0592,0.2114,0.011451600000000017,0.0,0.022671199999999992,0.02586999999999999,0.28628080000000017,0.10805180000000007,0.0027888000000000027,0.010618000000000022
1.0009,0.0105,0.0,0.0225,0.0259,0.284,0.1079,0.0027,0.0111,0.2653,0.0596,0.2114,0.01083399999999999,0.0,0.02235399999999999,0.025738000000000004,0.29905799999999993,0.10729000000000014,0.0026030000000000007,0.010807000000000004
1.0001,0.0109,0.0,0.0224,0.026,0.2825,0.1081,0.0029,0.0116,0.265,0.0594,0.2113,0.011135266666666664,0.0,0.022456283333333323,0.026110849999999984,0.28621768333333314,0.10788701666666674,0.0021789,0.011001600000000005
1.0005,0.0107,0.0,0.0225,0.026,0.2843,0.1079,0.0019,0.0118,0.2646,0.0596,0.2112,0.01082800000000001,0.0,0.022590999999999983,0.026034999999999985,0.2878360000000003,0.10791499999999996,0.0030529999999999997,0.010817000000000007
0.9995,0.0109,0.0,0.0223,0.0259,0.2843,0.1079,0.0023,0.0109,0.2645,0.0594,0.2111,0.011091880952380949,0.0,0.02246682380952381,0.025988004761904767,0.28405454761904786,0.10779684761904765,0.0020790571428571415,0.01067989523809524
0.9978,0.0104,0.0,0.0226,0.0256,0.2838,0.1077,0.0014,0.0113,0.2645,0.0594,0.2111,0.012908000000000015,0.0,0.022718999999999986,0.02605400000000001,0.22344999999999995,0.10619199999999988,0.005132999999999996,0.010654000000000005
0.9977,0.01,0.0,0.0225,0.0258,0.2838,0.1079,0.0015,0.0108,0.2645,0.0595,0.2114,0.011994000000000006,0.0,0.02263199999999997,0.025972000000000016,0.2752750000000003,0.10695600000000006,0.003358999999999997,0.010817000000000004
0.9992,0.0102,0.0,0.0225,0.0259,0.2838,0.108,0.0032,0.0106,0.2643,0.0597,0.211,0.010574899999999991,0.0,0.02253099999999998,0.025911700000000017,0.2842665999999998,0.10783480000000008,0.00298,0.010421800000000014
1.003,0.0114,0.0,0.0226,0.0261,0.2866,0.1083,0.0021,0.0112,0.2638,0.0595,0.2114,0.011788771428571442,0.0,0.02339997777777779,0.026346728571428592,0.33582563015873007,0.10906528730158734,0.0031974285714285746,0.01085623015873016
1.0015,0.0104,0.0,0.0224,0.0259,0.2864,0.1081,0.0033,0.0108,0.2634,0.0596,0.2112,0.010990033333333338,0.0,0.022537716666666662,0.026030883333333334,0.2839549833333333,0.10860225000000005,0.0022726,0.010862033333333338
1.0005,0.0106,0.0,0.0227,0.026,0.2844,0.1083,0.0034,0.0107,0.2635,0.0599,0.211,0.01082800000000001,0.0,0.022590999999999983,0.026034999999999985,0.2878360000000003,0.10791499999999996,0.0030529999999999997,0.010817000000000007
0.9995,0.0109,0.0,0.0226,0.0262,0.2841,0.1079,0.0031,0.0108,0.2628,0.0596,0.2115,0.011091880952380949,0.0,0.02246682380952381,0.025988004761904767,0.28405454761904786,0.10779684761904765,0.0020790571428571415,0.01067989523809524
1.3108,0.0132,0.0,0.0224,0.0258,0.2832,0.1082,0.0043,0.0111,0.2613,0.37,0.2113,0.013564707142857157,0.0,0.02241634285714286,0.025901049999999995,0.2805508214285719,0.10810135000000003,0.005463464285714294,0.011061392857142862
1.4219,0.0145,0.0,0.0222,0.026,0.2845,0.1084,0.0065,0.0114,0.2612,0.4753,0.2119,0.014359387301587286,0.0,0.022571644444444438,0.025834774603174585,0.3449714190476192,0.10807296825396825,0.007078869841269843,0.010970742857142852
1.403,0.0133,0.0,0.0224,0.026,0.2853,0.1083,0.007,0.0107,0.2615,0.4566,0.2119,0.013475999999999995,0.0,0.022180000000000005,0.21448500000000034,0.27370600000000034,0.07967699999999993,0.005642000000000005,0.010482000000000009
1.3516,0.0143,0.0,0.0223,0.026,0.2401,0.1083,0.0065,0.0107,0.2612,0.4503,0.2119,0.014548999999999973,0.0,0.022888999999999986,0.02649300000000003,0.27279200000000026,0.10881799999999991,0.007699000000000004,0.011183999999999998
1.7197,0.0147,0.0,0.0227,0.0261,0.1713,0.1086,0.0082,0.0109,0.2608,0.4468,0.6496,0.013290266666666668,0.0,0.022140399999999998,0.2851108666666665,0.24808383333333314,0.1046857999999999,0.004973099999999999,0.010589100000000008
1.7543,0.0147,0.0,0.0224,0.0259,0.1617,0.1085,0.007,0.0116,0.2604,0.4438,0.6983,0.014397399999999994,0.0005640000000000002,0.02233020000000001,0.1180916,0.17122419999999983,0.09713739999999994,0.006971200000000002,0.09163259999999986
1.2892,0.0141,0.0,0.0226,0.0259,0.1602,0.1084,0.008,0.0113,0.2266,0.4429,0.2692,0.014199823809523802,0.0,0.022741190476190477,0.02606067857142859,0.21790623095238093,0.10903384365079366,0.00792727222222222,0.010980706349206353
1.187,0.0143,0.0,0.0229,0.0258,0.1586,0.1088,0.0078,0.0107,0.1856,0.4409,0.2116,0.012991788095238092,0.0,0.022259016666666662,0.02569293095238096,0.2504200309523811,0.10735778571428575,0.005301866666666667,0.010448190476190467
1.1861,0.0142,0.0,0.0229,0.026,0.1581,0.1085,0.0076,0.0113,0.1854,0.4403,0.2118,0.014398480952380933,0.0,0.02304336071428571,0.026152360714285706,0.1589933226190476,0.10859624047619049,0.00748063928571428,0.010714557142857144
1.1842,0.0143,0.0,0.0225,0.026,0.1591,0.1086,0.0068,0.0103,0.1855,0.4389,0.2122,0.01397733333333332,0.0,0.02243283333333331,0.025973666666666652,0.19262816666666654,0.10772633333333329,0.007030999999999995,0.01066866666666665
1.1822,0.0141,0.0,0.0227,0.0259,0.1591,0.1084,0.0065,0.011,0.1854,0.4377,0.2114,0.014221999999999988,0.0,0.022838333333333335,0.026015666666666687,0.16560733333333327,0.10857966666666659,0.006625666666666657,0.011322666666666661
1.1837,0.0147,0.0,0.0228,0.0261,0.1589,0.1086,0.0068,0.0111,0.1855,0.4371,0.2121,0.014476999999999978,0.0,0.022651999999999985,0.026096500000000016,0.24927349999999976,0.10772449999999986,0.008007999999999996,0.010396999999999981
1.1817,0.0142,0.0,0.0227,0.0257,0.1591,0.1083,0.0062,0.0116,0.1856,0.436,0.2123,0.014294999999999987,0.0,0.022912000000000002,0.025926000000000025,0.15984100000000015,0.10850399999999993,0.006570999999999997,0.011507000000000005
1.1833,0.0143,0.0,0.0228,0.026,0.1596,0.1086,0.0081,0.0118,0.1855,0.4345,0.2121,0.014489266666666646,0.0,0.023074400000000002,0.026154699999999975,0.1599122999999999,0.1086565666666667,0.007894866666666672,0.011286333333333332
1.1808,0.0145,0.0,0.0227,0.0259,0.1599,0.1084,0.008,0.0112,0.1852,0.4331,0.2119,0.01409199999999998,0.0,0.02264899999999998,0.025889000000000016,0.18161000000000013,0.10822499999999981,0.007204000000000004,0.010774999999999996
1.1777,0.0144,0.0,0.0225,0.0261,0.1595,0.1085,0.0073,0.0099,0.1854,0.4323,0.2118,0.01432156547619047,0.0,0.022727834523809512,0.026147064285714294,0.16504050238095241,0.10892372142857144,0.007057579761904757,0.010512375000000003
1.1778,0.0144,0.0,0.0227,0.0261,0.1598,0.1085,0.0074,0.0105,0.1855,0.4315,0.2114,0.014247169047619041,0.0,0.022638738095238083,0.0261172761904762,0.1655922809523809,0.10834528809523819,0.007322419047619043,0.010580661904761922
1.1759,0.0145,0.0,0.0227,0.026,0.1604,0.1086,0.0063,0.0103,0.1854,0.4301,0.2116,0.014403999999999978,0.0,0.022491833333333332,0.02604223333333333,0.22197393333333323,0.10826366666666663,0.007070433333333329,0.01045023333333332
1.1777,0.0143,0.0,0.0229,0.0261,0.1605,0.1088,0.0075,0.0111,0.1856,0.4294,0.2115,0.01432156547619047,0.0,0.022727834523809512,0.026147064285714294,0.16504050238095241,0.10892372142857144,0.007057579761904757,0.010512375000000003
1.1771,0.0143,0.0,0.0231,0.0261,0.1606,0.109,0.0082,0.0101,0.1855,0.4286,0.2116,0.014250999999999984,0.0,0.02299399999999996,0.02612500000000002,0.16487100000000005,0.10884099999999995,0.007771999999999991,0.010396999999999998
