Consumo_T,Aula Medios,Cubiculos,Direccion 1,Direccion 2,Rack,Sala Juntas,Maestros 1,Maestros 2,L1,L2,L3,Aula_Medios_Pred,Cubiculos_Pred,Direccion1_Pred,Direccion2_Pred,Rack_Pred,Sala_Juntas_Pred,Maestros1_Pred,Maestros2_Pred
0.8027,0.0025,0.0,0.0047,0.0051,0.134,0.0223,0.0005,0.5988,0.0088,0.0032,0.0228,0.010490348412698414,0.0,0.02015296468253969,0.02277839920634921,0.18471437539682536,0.0949121968253969,0.0029769738095238108,0.10708672182539683
0.8027,0.0025,0.0,0.0047,0.0051,0.134,0.0223,0.0005,0.5988,0.0088,0.0032,0.0228,0.010490348412698414,0.0,0.02015296468253969,0.02277839920634921,0.18471437539682536,0.0949121968253969,0.0029769738095238108,0.10708672182539683
3.9494,0.0122,0.0,0.0223,0.0246,0.6357,0.1068,0.0043,2.8797,0.0562,0.0883,0.1193,0.01258799999999999,0.5224999999999999,0.022226999999999997,0.025051999999999967,0.513963,0.10663199999999984,0.005024000000000006,2.255144000000003
3.9915,0.0124,0.0,0.0222,0.0248,0.6492,0.1067,0.0036,2.9144,0.0564,0.0868,0.115,0.013110999999999979,0.9972559999999998,0.022155000000000015,0.025502999999999984,0.4678930000000003,0.10598299999999998,0.005064999999999999,1.723640000000001
4.1794,0.0123,0.0,0.0221,0.0247,0.6526,0.1066,0.0028,2.9235,0.0941,0.0895,0.2512,0.01288799999999999,1.0361029999999998,0.022345999999999994,0.025486000000000005,0.5387040000000002,0.10668200000000011,0.004141000000000006,1.6709759999999998
4.5381,0.0126,0.0,0.0222,0.0246,0.6201,0.1065,0.0043,2.9177,0.1468,0.087,0.5963,0.6839520000000001,0.12798,0.021916,0.15277899999999986,0.48450900000000063,0.0861479999999999,0.020322,2.0376409999999985
4.3196,0.0125,0.0,0.022,0.025,0.559,0.1065,0.0035,2.9013,0.1384,0.0863,0.4651,0.013314999999999981,1.0188779999999995,0.022091,0.02554599999999998,0.3966739999999999,0.10601500000000005,0.0056769999999999946,1.6862890000000001
4.0112,0.0114,0.0,0.022,0.0248,0.5041,0.1064,0.0032,2.9008,0.1368,0.0832,0.2185,0.012248000000000002,0.9493079999999996,0.021849000000000004,0.025186,0.426192,0.10544600000000007,0.003990999999999995,1.7735289999999995
4.1937,0.0111,0.0,0.0218,0.0249,0.4852,0.1063,0.0022,2.9308,0.3124,0.0831,0.2159,0.014124999999999999,2.388745999999998,0.022672999999999992,0.02673499999999997,0.18794799999999992,0.16968399999999992,0.006919999999999994,0.03973799999999991
4.0065,0.0118,0.0,0.0218,0.0248,0.4673,0.1063,0.003,2.9386,0.134,0.083,0.2159,0.013654000000000022,2.301618999999999,0.02201300000000001,0.026441000000000034,0.3019509999999997,0.10714800000000009,0.004625999999999995,0.010882000000000008
3.9101,0.011,0.0,0.021,0.0244,0.394,0.1065,0.0033,2.9204,0.1333,0.0824,0.2138,0.011242000000000004,0.0,0.02136199999999997,0.024503999999999984,0.4153299999999994,0.10642099999999997,0.0031290000000000024,2.912385999999998
1.5681,0.0114,0.0,0.022,0.0253,0.393,0.1072,0.0029,0.5855,0.1332,0.0828,0.2048,0.01274599999999999,0.0,0.022542,0.49144600000000027,0.22993700000000025,0.10731899999999994,0.003781999999999998,0.010427999999999993
0.9764,0.0121,0.0,0.022,0.0255,0.3764,0.1073,0.0023,0.0116,0.1332,0.0763,0.2097,0.012073000000000006,0.0,0.022371999999999982,0.02590300000000002,0.34558900000000004,0.10758100000000015,0.0022449999999999974,0.01145400000000001
