Consumo_T,UTEM CIER DAVID-Mains_A (kWatts),UTEM CIER DAVID-Mains_B (kWatts),UTEM CIER DAVID-Mains_C (kWatts),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 1 (kWatts),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 2 (kWatts),UTEM CIER DAVID-Air Conditioner-AC Aula Magna  (kWatts),UTEM CIER DAVID-Air Conditioner-AC Aula Magna (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L1 (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L2 (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L3 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L1 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L2 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L3 (kWatts),UTEM CIER DAVID-Solar_Generation-Inversor (kWatts),UTEM CIER DAVID-Room_Multi-use Circuit-Contactos David (kWatts),UTEM CIER DAVID-Lights-Alumbrado (kWatts),UTEM CIER DAVID-Lights-Alumbrado Fotovoltaico (kWatts),UTEM CIER DAVID-Other-Circuit_15 (kWatts),UTEM CIER DAVID-Other-Circuit_16 (kWatts)
20.85,3.9912,2.8188,2.8801,2.2318,2.3408,2.0353,2.3989,0.027,0.0209,0.0075,0.783,0.5259,0.0069,0.0,0.1013,0.0033,0.6764,0,0
18.95,4.0326,2.5127,2.2345,2.6039,2.7328,1.0551,1.2585,0.0315,0.0247,0.0088,0.9205,0.6143,0.0065,0.0,0.1266,0.0033,0.7877,0,0
14.31,3.4954,1.772,1.329,2.5723,2.7141,0.0116,0.0147,0.0312,0.0257,0.0088,0.9095,0.5174,0.003,0.0,0.1291,0.0033,0.7742,0,0
14.72,3.596,1.8189,1.3742,2.6568,2.8092,0.012,0.0149,0.0318,0.0266,0.009,0.9229,0.5238,0.0029,0.0,0.127,0.0033,0.7896,0,0
14.58,3.5643,1.8038,1.3557,2.6283,2.7713,0.0119,0.0148,0.0317,0.0264,0.009,0.922,0.5225,0.0032,0.0,0.1295,0.0033,0.7862,0,0
12.98,3.117,1.6707,1.3257,2.5643,2.7124,0.0119,0.0148,0.0311,0.0259,0.0085,0.5364,0.4207,0.0039,0.0,0.0755,0.0033,0.4564,0,0
10.99,2.6548,1.3733,1.344,2.6131,2.7547,0.0121,0.0151,0.0317,0.026,0.0083,0.0283,0.0976,0.0031,0.0,0.0276,0.0033,0.0,0,0
14.27,3.0695,1.7733,2.0746,2.6382,2.7823,0.8459,0.9754,0.0317,0.026,0.0082,0.0202,0.0,0.0032,0.0,0.0199,0.0033,0.0,0,0
16.85,2.5397,2.3009,3.1556,1.0375,1.0869,3.0323,3.5839,0.0314,0.0259,0.0082,0.0203,0.0,0.0029,0.0,0.0201,0.0033,0.0,0,0
12.6,1.4996,1.7947,2.6084,0.0164,0.0073,2.9915,3.5743,0.0312,0.026,0.0083,0.0205,0.0,0.0028,0.0,0.0202,0.0033,0.0,0,0
