fecha,Potencia_activa_Total,Potencia_aparente_Total,Potencia_reactiva
2024-09-23_10-01-22,0.0036510291974991,0.007563792169094,0.008398866958003242
2024-09-23_10-01-23.7,0.0037782294675707,0.0075287516228854,0.008423604864232362
2024-09-23_10-01-24.5,0.0035973102785646,0.0072067119181156,0.008054646976185608
2024-09-23_10-01-25.3,0.0037952307611703,0.0075464178808033,0.008447023106529368
2024-09-23_10-01-26.1,0.0034934165887534,0.0069470158778131,0.007775923679484306
2024-09-23_10-01-26.9,0.0034273404162377,0.0068338061682879,0.007645100985239251
2024-09-23_10-01-27.7,0.0034273404162377,0.0070701404474675,0.007857069954868186
2024-09-23_10-01-29.4,0.003486372064799,0.0071402792818844,0.007945966171430535
2024-09-23_10-01-30.2,0.0034600966610014,0.0069088814780116,0.007726895377878802
2024-09-23_10-01-31,0.0034348575863987,0.0068023684434592,0.007620397829471257
2024-09-23_10-01-31.8,0.0033145481720566,0.0066918092779815,0.007467699846523228
2024-09-23_10-01-32.6,0.0033145481720566,0.0066918092779815,0.007467699846523228
2024-09-23_10-01-33.4,0.0032668225467205,0.0067559112794697,0.007504296553830167
2024-09-23_10-01-35.1,0.0029944302514195,0.0062421085312962,0.006923187954049569
2024-09-23_10-01-35.9,0.0034060338512063,0.0068507059477269,0.007650701835634685
2024-09-23_10-01-36.7,0.0034060338512063,0.0068507059477269,0.007650701835634685
2024-09-23_10-01-37.5,0.003320486517623,0.0066770445555448,0.007457114368872626
2024-09-23_10-01-38.3,0.0031316564418375,0.006439758464694,0.007160849192190849
2024-09-23_10-01-39.1,0.0031667258590459,0.0064440728165209,0.007180127236405606
2024-09-23_10-01-40.8,0.3658437132835388,0.545738160610199,0.6570173228274058
2024-09-23_10-01-41.6,0.3658437132835388,0.545738160610199,0.6570173228274058
2024-09-23_10-01-42.4,0.5251530408859253,0.5797237157821655,0.7822181939791578
2024-09-23_10-01-43.2,0.0794964283704757,0.1099939048290252,0.13571418946889388
2024-09-23_10-01-44,0.0709181576967239,0.1028132662177085,0.1248997710224114
2024-09-23_10-01-44.8,0.0697181224822998,0.1018124967813491,0.12339530421903898
2024-09-23_10-01-45.6,0.0697181224822998,0.1018124967813491,0.12339530421903898
2024-09-23_10-01-46.5,0.0692735761404037,0.1015756353735923,0.12294892456963291
2024-09-23_10-01-47.3,0.0693937540054321,0.1012792587280273,0.12277207069796094
2024-09-23_10-01-48.1,0.069645918905735,0.1015953049063682,0.12317532220068328
2024-09-23_10-01-48.9,0.0694229304790496,0.1015354692935943,0.1229999788657274
2024-09-23_10-01-49.7,0.0694229304790496,0.1015354692935943,0.1229999788657274
2024-09-23_10-01-50.5,0.0690647363662719,0.1013245806097984,0.12262384941394629
2024-09-23_10-01-51.3,0.0690759569406509,0.1014115214347839,0.12270201508933866
2024-09-23_10-01-52.1,0.0693675056099891,0.1015712097287178,0.12299821738670462
2024-09-23_10-01-53.8,0.0696558281779289,0.1016678884625434,0.12324079658775872
2024-09-23_10-01-54.6,0.0696558281779289,0.1016678884625434,0.12324079658775872
2024-09-23_10-01-55.4,0.0682494863867759,0.0958757922053337,0.11768670240540786
2024-09-23_10-01-56.2,0.06852937489748,0.0955890715122222,0.11761609505679099
2024-09-23_10-01-57,0.0684753656387329,0.0955734848976135,0.11757196398305388
2024-09-23_10-01-57.8,0.0683324038982391,0.0953887775540351,0.11733855421712538
2024-09-23_10-01-58.6,0.0683324038982391,0.0953887775540351,0.11733855421712538
2024-09-23_10-01-59.5,0.0684239044785499,0.0953772142529487,0.11738246761225717
2024-09-23_10-02-00.3,0.0686066597700119,0.095604583621025,0.11767374462533149
2024-09-23_10-02-01.1,0.0682369098067283,0.0954715311527252,0.11735028385401268
2024-09-23_10-02-01.9,0.0681478306651115,0.0954232513904571,0.11725921597165437
2024-09-23_10-02-02.7,0.0681478306651115,0.0954232513904571,0.11725921597165437
2024-09-23_10-02-03.5,0.067832313477993,0.0951868444681167,0.11688352369591769
2024-09-23_10-02-04.3,0.0681256726384162,0.0953626334667205,0.11719700991981293
2024-09-23_10-02-05.2,0.0680340901017189,0.0953837260603904,0.1171609688127083
2024-09-23_10-02-06,0.0680619031190872,0.0953851267695427,0.11717826191335039
2024-09-23_10-02-06.8,0.0676028206944465,0.0950013622641563,0.11659931474022883
2024-09-23_10-02-07.6,0.0676028206944465,0.0950013622641563,0.11659931474022883
2024-09-23_10-02-08.4,0.0676811560988426,0.0951707065105438,0.11678271391174279
2024-09-23_10-02-09.2,0.067554660141468,0.0949867665767669,0.11655950382331956
2024-09-23_10-02-10,0.0683788135647773,0.0973380133509635,0.11895524783564163
2024-09-23_10-02-10.9,0.0691445842385292,0.1013409495353698,0.12268236051792218
2024-09-23_10-02-11.7,0.0691445842385292,0.1013409495353698,0.12268236051792218
2024-09-23_10-02-12.5,0.0691047683358192,0.1013350263237953,0.12265503074391823
2024-09-23_10-02-13.3,0.069088265299797,0.1013405844569206,0.12265032596860634
2024-09-23_10-02-14.1,0.0688518434762954,0.1013157665729522,0.12249677916724676
2024-09-23_10-02-14.9,0.0689010098576545,0.1012335941195488,0.12245648099535666
2024-09-23_10-02-15.7,0.0687545984983444,0.1011350229382515,0.12229263133725268
2024-09-23_10-02-17.4,0.0687977224588394,0.1012429222464561,0.12240611063392813
2024-09-23_10-02-18.2,0.0688570290803909,0.1012035310268402,0.12240688357309978
2024-09-23_10-02-19,0.0689231753349304,0.101202055811882,0.12244288545603962
2024-09-23_10-02-19.8,0.0692209154367446,0.1013451665639877,0.1227288797300104
2024-09-23_10-02-20.6,0.0692209154367446,0.1013451665639877,0.1227288797300104
2024-09-23_10-02-21.4,0.0691507086157798,0.1013447716832161,0.12268896955141355
2024-09-23_10-02-22.2,0.069103829562664,0.1013148576021194,0.12263783931219373
2024-09-23_10-02-23,0.068757452070713,0.1009598895907402,0.12214944339386424
2024-09-23_10-02-24.7,0.0686299353837966,0.1009628549218177,0.12208016261763457
2024-09-23_10-02-25.5,0.0684689357876777,0.1009033918380737,0.1219405168609883
2024-09-23_10-02-26.3,0.0686247870326042,0.1009614765644073,0.12207612848274492
2024-09-23_10-02-27.1,0.0687251836061477,0.1009002849459648,0.12208201490750224
2024-09-23_10-02-27.9,0.068569578230381,0.1008706390857696,0.12196996715693552
2024-09-23_10-02-28.7,0.068569578230381,0.1007648333907127,0.12188247908108216
2024-09-23_10-02-29.5,0.0684408172965049,0.1007648333907127,0.12181008628381992
2024-09-23_10-02-32,0.0678987279534339,0.1005630567669868,0.1213390524275455
2024-09-23_10-02-32.8,0.0677927732467651,0.1004687547683715,0.12120161215592175
2024-09-23_10-02-33.6,0.0677927732467651,0.1004687547683715,0.12120161215592175
2024-09-23_10-02-34.4,0.0675180330872535,0.100200280547142,0.12082541542944275
2024-09-23_10-02-35.2,0.067470446228981,0.1002464294433593,0.12083711238886931
2024-09-23_10-02-36,0.0671704560518264,0.1000489890575409,0.12050589353905591
2024-09-23_10-02-36.8,0.0666682198643684,0.0998691096901893,0.12007701949246921
2024-09-23_10-02-37.6,0.0666682198643684,0.0998691096901893,0.12007701949246921
2024-09-23_10-02-39.3,0.0662498176097869,0.0995175763964653,0.11955244182013322
2024-09-23_10-02-40.1,0.0663450732827186,0.0994632542133331,0.11956005891431899
2024-09-23_10-02-40.9,0.0664691254496574,0.099556066095829,0.1197061190354084
2024-09-23_10-02-41.7,0.0664691254496574,0.099556066095829,0.1197061190354084
2024-09-23_10-02-42.5,0.0664995312690734,0.0995419844985008,0.1197112957782441
2024-09-23_10-02-43.3,0.0665491670370101,0.0996795371174812,0.11985325090824689
2024-09-23_10-02-44.1,0.0662845820188522,0.0994524657726287,0.11951752491442344
2024-09-23_10-02-44.9,0.0657991990447044,0.0992026701569557,0.11904076764367062
2024-09-23_10-02-47.4,0.0653769448399543,0.0990127846598625,0.11864938450201389
