Consumo_T,Aula Medios,Cubiculos ,Direccion 1,Direccion 2 ,Rack,Sala Juntas,Maestros 1,Maestros 2,L1,L2 ,L3 
4.1757,0.0143,0,0.0207,0.0248,0.3753,0.1067,0.0083,2.9031,0.0469,0.4638,0.2118
4.1726,0.0145,0,0.0211,0.0248,0.3798,0.107,0.007,2.9058,0.0469,0.4543,0.2114
4.2329,0.0144,0,0.0215,0.0248,0.4514,0.1067,0.0082,2.8975,0.0468,0.4496,0.212
4.2447,0.0146,0,0.022,0.0246,0.4772,0.1068,0.0065,2.8876,0.0469,0.4461,0.2124
4.2527,0.0146,0,0.0219,0.0249,0.4617,0.1069,0.0074,2.9107,0.0468,0.4457,0.2121
4.267,0.0145,0,0.0218,0.0248,0.4717,0.1068,0.0091,2.9154,0.0471,0.443,0.2128
4.2815,0.0145,0,0.022,0.0249,0.4816,0.1068,0.0086,2.9235,0.0468,0.441,0.2118
4.3321,0.0143,0,0.0217,0.0248,0.486,0.1066,0.0073,2.915,0.1049,0.4401,0.2114
4.3456,0.0142,0,0.0223,0.0249,0.4772,0.1063,0.0069,2.8888,0.1543,0.4395,0.2112
4.3257,0.0141,0,0.0217,0.024,0.4771,0.1062,0.0067,2.8889,0.1364,0.4388,0.2118
4.3253,0.0144,0,0.0219,0.0248,0.478,0.1066,0.007,2.8886,0.1343,0.4381,0.2116
4.3265,0.014,0,0.0216,0.0251,0.4784,0.1068,0.0069,2.8894,0.1343,0.4384,0.2116
4.3026,0.0144,0,0.0219,0.0249,0.4699,0.107,0.0074,2.8771,0.1339,0.4346,0.2115
4.3107,0.0146,0,0.022,0.0247,0.4718,0.1067,0.0071,2.8853,0.1339,0.433,0.2116
4.3493,0.0143,0,0.0219,0.0247,0.4771,0.1064,0.0081,2.9192,0.1339,0.4319,0.2118
4.2983,0.0143,0,0.0218,0.0248,0.467,0.1064,0.0072,2.8803,0.1331,0.4318,0.2116
4.2919,0.0141,0,0.0219,0.0245,0.4575,0.1063,0.0076,2.8881,0.1324,0.4281,0.2114
4.2992,0.0143,0,0.0217,0.0248,0.471,0.1062,0.0072,2.8837,0.1317,0.4272,0.2114
4.263,0.0144,0,0.0221,0.0247,0.4631,0.1059,0.0078,2.8582,0.1308,0.4248,0.2112
4.0175,0.0125,0,0.0218,0.0249,0.4757,0.1057,0.0039,2.889,0.1311,0.1419,0.211
3.9267,0.0116,0,0.0219,0.0249,0.4741,0.1061,0.0027,2.8721,0.1308,0.0719,0.2106
3.9104,0.0119,0,0.022,0.0247,0.4465,0.1063,0.003,2.8783,0.1303,0.0762,0.2112
3.8872,0.0114,0,0.021,0.0248,0.3876,0.1061,0.0029,2.92,0.1298,0.0724,0.2112
3.8714,0.0119,0,0.0212,0.0248,0.39,0.1064,0.0016,2.9022,0.1291,0.0729,0.2113
