fecha,Corriente_linea1,Factor_Potencia,Potencia_aparente_total,dispositivo
23/09/2024 10:01,0.052510079,0.670364976,0.545738161,1
23/09/2024 10:01,4.471089363,0.670364976,0.545738161,1
23/09/2024 10:01,4.792357445,0.905867994,0.579723716,1
23/09/2024 10:01,0.887030363,0.722734988,0.109993905,1
23/09/2024 10:01,0.827599168,0.689776003,0.102813266,1
23/09/2024 10:01,0.827599168,0.684769988,0.101812497,1
23/09/2024 10:01,0.81896323,0.684769988,0.101812497,1
23/09/2024 10:01,0.816823959,0.681990027,0.101575635,1
23/09/2024 10:01,0.816357195,0.685172021,0.101279259,1
23/09/2024 10:01,0.817776322,0.685522974,0.101595305,1
23/09/2024 10:01,0.816413283,0.683731019,0.101535469,1
23/09/2024 10:01,0.816413283,0.683731019,0.101535469,1
23/09/2024 10:01,0.815176129,0.681618989,0.101324581,1
23/09/2024 10:01,0.815877497,0.681145012,0.101411521,1
23/09/2024 10:01,0.817029059,0.682945013,0.10157121,1
23/09/2024 10:01,0.81589371,0.683611989,0.101274982,1
23/09/2024 10:01,0.81589371,0.685131013,0.101667888,1
23/09/2024 10:01,0.81806314,0.685131013,0.101667888,1
23/09/2024 10:01,0.804499805,0.711853027,0.095875792,1
23/09/2024 10:01,0.806319594,0.716916025,0.095589072,1
23/09/2024 10:01,0.805644631,0.716467977,0.095573485,1
23/09/2024 10:01,0.805644631,0.716356993,0.095388778,1
23/09/2024 10:01,0.804935277,0.716356993,0.095388778,1
23/09/2024 10:01,0.805494666,0.717402995,0.095377214,1
23/09/2024 10:02,0.806458175,0.717607975,0.095604584,1
23/09/2024 10:02,0.804939985,0.714735985,0.095471531,1
23/09/2024 10:02,0.80451858,0.714164019,0.095423251,1
23/09/2024 10:02,0.80451858,0.712623,0.095423251,1
23/09/2024 10:02,0.802515805,0.712623,0.095186844,1
23/09/2024 10:02,0.803420901,0.714384973,0.095362633,1
23/09/2024 10:02,0.803893268,0.713267028,0.095383726,1
23/09/2024 10:02,0.804039121,0.713548005,0.095385127,1
23/09/2024 10:02,0.804039121,0.711597979,0.095001362,1
23/09/2024 10:02,0.800651193,0.711597979,0.095001362,1
23/09/2024 10:02,0.802894056,0.711154997,0.095170707,1
23/09/2024 10:02,0.80128336,0.711201012,0.094986767,1
23/09/2024 10:02,0.808529198,0.702488005,0.097338013,1
23/09/2024 10:02,0.808529198,0.682296991,0.10134095,1
23/09/2024 10:02,0.815887451,0.682296991,0.10134095,1
23/09/2024 10:02,0.816022992,0.681944013,0.101335026,1
23/09/2024 10:02,0.815881968,0.681743026,0.101340584,1
23/09/2024 10:02,0.815555334,0.679576993,0.101315767,1
23/09/2024 10:02,0.815015972,0.680613995,0.101233594,1
23/09/2024 10:02,0.815015972,0.679830015,0.101135023,1
23/09/2024 10:02,0.814095736,0.679830015,0.101135023,1
23/09/2024 10:02,0.814854741,0.679530978,0.101242922,1
23/09/2024 10:02,0.814814925,0.680382013,0.101203531,1
23/09/2024 10:02,0.81493932,0.681044996,0.101202056,1
23/09/2024 10:02,0.81493932,0.683021009,0.101345167,1
23/09/2024 10:02,0.815765738,0.683021009,0.101345167,1
23/09/2024 10:02,0.815672934,0.682331026,0.101344772,1
23/09/2024 10:02,0.815414131,0.682070017,0.101314858,1
23/09/2024 10:02,0.812916696,0.681037009,0.10095989,1
23/09/2024 10:02,0.812916696,0.679754019,0.100962855,1
23/09/2024 10:02,0.812350094,0.679754019,0.100962855,1
23/09/2024 10:02,0.811999977,0.678559005,0.100903392,1
23/09/2024 10:02,0.812572956,0.679713011,0.100961477,1
23/09/2024 10:02,0.811752796,0.681119978,0.100900285,1
23/09/2024 10:02,0.811278939,0.679777026,0.100870639,1
23/09/2024 10:02,0.811278939,0.679212987,0.100764833,1
23/09/2024 10:02,0.810696661,0.679212987,0.100764833,1
23/09/2024 10:02,0.811224341,0.678556025,0.100766905,1
23/09/2024 10:02,0.809051991,0.675163984,0.100567438,1
23/09/2024 10:02,0.80862242,0.675185978,0.100563057,1
23/09/2024 10:02,0.80862242,0.674764991,0.100468755,1
23/09/2024 10:02,0.807842076,0.674764991,0.100468755,1
23/09/2024 10:02,0.806263387,0.673830986,0.100200281,1
23/09/2024 10:02,0.806421697,0.673045993,0.100246429,1
23/09/2024 10:02,0.805055499,0.67137599,0.100048989,1
23/09/2024 10:02,0.805055499,0.667555988,0.09986911,1
23/09/2024 10:02,0.803579926,0.667555988,0.09986911,1
23/09/2024 10:02,0.80255276,0.666866004,0.099703021,1
23/09/2024 10:02,0.801195502,0.665709972,0.099517576,1
23/09/2024 10:02,0.80080235,0.66703099,0.099463254,1
23/09/2024 10:02,0.80080235,0.667654991,0.099556066,1
23/09/2024 10:02,0.801617861,0.667654991,0.099556066,1
23/09/2024 10:02,0.801261723,0.668054998,0.099541984,1
23/09/2024 10:02,0.802021921,0.66763097,0.099679537,1
23/09/2024 10:02,0.799847066,0.666495025,0.099452466,1
23/09/2024 10:02,0.79859817,0.663281024,0.09920267,1
23/09/2024 10:02,0.79859817,0.661692977,0.099027082,1
23/09/2024 10:02,0.797294021,0.661692977,0.099027082,1
23/09/2024 10:02,0.79684943,0.660287976,0.099012785,1
23/09/2024 10:02,0.795535743,0.658568025,0.098821379,1
23/09/2024 10:02,0.795525193,0.657029986,0.098778933,1
23/09/2024 10:02,0.795525193,0.658048987,0.098661356,1
23/09/2024 10:02,0.794131994,0.658048987,0.098661356,1
23/09/2024 10:02,0.795026541,0.658538997,0.098819628,1
23/09/2024 10:02,0.79458642,0.658851981,0.098796748,1
23/09/2024 10:02,0.793489516,0.65575099,0.098620698,1
23/09/2024 10:02,0.793489516,0.655227005,0.098377004,1
23/09/2024 10:02,0.791964352,0.655227005,0.098377004,1
23/09/2024 10:02,0.792827249,0.654717028,0.098558858,1
23/09/2024 10:02,0.791443586,0.653927028,0.098353803,1
23/09/2024 10:02,0.790303349,0.652997971,0.098101921,1
23/09/2024 10:02,0.791300833,0.653949022,0.098376356,1
23/09/2024 10:02,0.791300833,0.655054986,0.0984478,1
23/09/2024 10:02,0.791552842,0.655054986,0.0984478,1
23/09/2024 10:03,0.789469719,0.651872993,0.098105915,1
23/09/2024 10:03,0.788460433,0.651241004,0.097962424,1
23/09/2024 10:03,0.788817942,0.651463985,0.098014466,1
23/09/2024 10:03,0.788817942,0.651493013,0.097943664,1
23/09/2024 10:03,0.788871109,0.651493013,0.097943664,1
23/09/2024 10:03,0.788432539,0.652656972,0.097912222,1
23/09/2024 10:03,0.789379597,0.655143976,0.098108798,1
23/09/2024 10:03,0.789716542,0.653311014,0.098256759,1
23/09/2024 10:03,0.789716542,0.653881013,0.09841644,1
23/09/2024 10:03,0.790846586,0.653881013,0.09841644,1
23/09/2024 10:03,0.789382339,0.653980017,0.098175831,1
23/09/2024 10:03,0.789816797,0.653738022,0.098220997,1
23/09/2024 10:03,0.787528813,0.650910974,0.097945459,1
23/09/2024 10:03,0.786629677,0.646988988,0.097784817,1
23/09/2024 10:03,0.786629677,0.646988988,0.097784817,1
23/09/2024 10:03,0.786702037,0.64607501,0.097766556,1
23/09/2024 10:03,0.785490394,0.646216989,0.097648419,1
23/09/2024 10:03,0.786769986,0.647821009,0.097821184,1
23/09/2024 10:03,0.788000166,0.649204016,0.097958542,1
23/09/2024 10:03,0.788000166,0.646817982,0.097672179,1
23/09/2024 10:03,0.785637736,0.646817982,0.097672179,1
23/09/2024 10:03,0.785947263,0.647687018,0.097684056,1
23/09/2024 10:03,0.786588371,0.650276005,0.097780928,1
23/09/2024 10:03,0.787616134,0.649111986,0.097963735,1
23/09/2024 10:03,0.787616134,0.650071979,0.097807057,1
23/09/2024 10:03,0.786526322,0.650071979,0.097807057,1
23/09/2024 10:03,0.78573972,0.649667978,0.097758502,1
23/09/2024 10:03,0.785368562,0.64775002,0.09764611,1
23/09/2024 10:03,0.783987761,0.645506978,0.09742035,1
23/09/2024 10:03,0.783987761,0.644249022,0.097484313,1
23/09/2024 10:03,0.783574998,0.644249022,0.097484313,1
23/09/2024 10:03,0.783326328,0.642297983,0.097478181,1
23/09/2024 10:03,0.783925116,0.646440983,0.097541265,1
23/09/2024 10:03,0.785093904,0.647409976,0.097585939,1
23/09/2024 10:03,0.783758759,0.645056009,0.097491682,1
23/09/2024 10:03,0.783758759,0.641991973,0.097491682,1
23/09/2024 10:03,0.782260299,0.641991973,0.097263195,1
23/09/2024 10:03,0.782146275,0.643464029,0.097184606,1
23/09/2024 10:03,0.784469485,0.645787001,0.097537003,1
23/09/2024 10:03,0.783814728,0.646273017,0.097444192,1
23/09/2024 10:03,0.783814728,0.646809995,0.097467057,1
23/09/2024 10:03,0.783949792,0.646809995,0.097467057,1
23/09/2024 10:03,0.783860385,0.645911992,0.097475626,1
23/09/2024 10:03,0.784166396,0.64595902,0.097508997,1
23/09/2024 10:03,0.783459306,0.647185981,0.097411558,1
23/09/2024 10:03,0.783459306,0.644245028,0.097327344,1
23/09/2024 10:03,0.782827795,0.644245028,0.097327344,1
23/09/2024 10:03,0.782099128,0.644271016,0.097204171,1
23/09/2024 10:03,0.780487239,0.641260028,0.096912518,1
23/09/2024 10:03,0.783114612,0.645152986,0.097313233,1
23/09/2024 10:03,0.781772614,0.644297004,0.09720099,1
23/09/2024 10:03,0.781772614,0.644297004,0.09720099,1
23/09/2024 10:03,0.781466663,0.643456995,0.097083978,1
23/09/2024 10:03,0.780775726,0.642665029,0.096986376,1
23/09/2024 10:03,0.782769144,0.643737018,0.09733896,1
23/09/2024 10:03,0.782645106,0.64467603,0.09737318,1
23/09/2024 10:03,0.782645106,0.643140018,0.097294338,1
23/09/2024 10:03,0.782239258,0.643140018,0.097294338,1
23/09/2024 10:03,0.780786574,0.644547999,0.097005755,1
23/09/2024 10:03,0.782200038,0.643809021,0.097313605,1
23/09/2024 10:03,0.780824542,0.642917991,0.097106539,1
23/09/2024 10:03,0.780824542,0.643239021,0.097218871,1
23/09/2024 10:03,0.781839132,0.643239021,0.097218871,1
23/09/2024 10:03,0.780939639,0.641870022,0.097071104,1
23/09/2024 10:03,0.781038702,0.643060982,0.097111903,1
23/09/2024 10:03,0.78051573,0.640495002,0.097151667,1
23/09/2024 10:03,0.78051573,0.640873015,0.097104371,1
23/09/2024 10:03,0.78007251,0.640873015,0.097104371,1
23/09/2024 10:03,0.781407237,0.642572999,0.097178578,1
23/09/2024 10:03,0.779558003,0.641695976,0.096898511,1
23/09/2024 10:03,0.780723691,0.640030026,0.097091511,1
