fecha,Corriente_linea1,dispositivo
2024-09-25_10-05-54,0.0557787045836448,refrigerador
2024-09-25_10-05-55,0.0579615421593189,refrigerador
2024-09-25_10-05-56,0.056490022689104,refrigerador
2024-09-25_10-05-57,0.0537854582071304,refrigerador
2024-09-25_10-05-58,0.0537854582071304,refrigerador
2024-09-25_10-05-58,0.0565035641193389,refrigerador
2024-09-25_10-05-59,0.0589505210518837,refrigerador
2024-09-25_10-06-0,0.0576930455863475,refrigerador
2024-09-25_10-06-1,0.0575257055461406,refrigerador
2024-09-25_10-06-2,0.0597117431461811,refrigerador
2024-09-25_10-06-2,0.0597117431461811,refrigerador
2024-09-25_10-06-3,0.0557924509048461,refrigerador
2024-09-25_10-06-4,0.0507975593209266,refrigerador
2024-09-25_10-06-5,0.0504572466015815,refrigerador
2024-09-25_10-06-6,0.0537902489304542,refrigerador
2024-09-25_10-06-7,0.0537902489304542,refrigerador
2024-09-25_10-06-7,0.0556129589676857,refrigerador
2024-09-25_10-06-8,0.0562832169234752,refrigerador
2024-09-25_10-06-9,0.0576438419520854,refrigerador
2024-09-25_10-06-10,0.0567648783326149,refrigerador
2024-09-25_10-06-11,0.0567648783326149,refrigerador
2024-09-25_10-06-11,0.0581594705581665,refrigerador
2024-09-25_10-06-12,0.0570813491940498,refrigerador
2024-09-25_10-06-13,0.0597005933523178,refrigerador
2024-09-25_10-06-14,0.04926298558712,refrigerador
2024-09-25_10-06-15,0.0513444207608699,refrigerador
2024-09-25_10-06-15,0.0513444207608699,refrigerador
2024-09-25_10-06-16,0.0562115684151649,refrigerador
2024-09-25_10-06-17,0.0587725192308425,refrigerador
2024-09-25_10-06-18,0.0578914135694503,refrigerador
2024-09-25_10-06-19,0.0588546134531497,refrigerador
2024-09-25_10-06-20,0.0588546134531497,refrigerador
2024-09-25_10-06-20,0.0557513795793056,refrigerador
2024-09-25_10-06-21,0.0562514476478099,refrigerador
2024-09-25_10-06-22,0.0509988516569137,refrigerador
2024-09-25_10-06-23,0.0487502068281173,refrigerador
2024-09-25_10-06-24,0.0523186028003692,refrigerador
2024-09-25_10-06-24,0.0523186028003692,refrigerador
2024-09-25_10-06-25,0.0554289482533931,refrigerador
2024-09-25_10-06-26,0.054062470793724,refrigerador
2024-09-25_10-06-27,0.0579279996454715,refrigerador
2024-09-25_10-06-28,0.0536774024367332,refrigerador
2024-09-25_10-06-29,0.0536774024367332,refrigerador
2024-09-25_10-06-29,0.054311815649271,refrigerador
2024-09-25_10-06-30,0.0514201782643795,refrigerador
2024-09-25_10-06-31,0.0532827600836753,refrigerador
2024-09-25_10-06-32,0.0547348447144031,refrigerador
2024-09-25_10-06-33,0.0547348447144031,refrigerador
2024-09-25_10-06-33,0.0577198937535285,refrigerador
2024-09-25_10-06-34,0.0559588298201561,refrigerador
2024-09-25_10-06-35,0.0578589737415313,refrigerador
2024-09-25_10-06-36,0.0578072518110275,refrigerador
2024-09-25_10-06-37,0.0580399222671985,refrigerador
2024-09-25_10-06-37,0.0580399222671985,refrigerador
2024-09-25_10-06-38,0.0586688220500946,refrigerador
2024-09-25_10-06-39,0.0569832883775234,refrigerador
2024-09-25_10-06-40,0.0540043041110038,refrigerador
