fecha,Corriente_linea1,media_corriente,desviacion_corriente,corriente_max,corriente_min,dispositivo_predicho
2024-09-25_15-00-18,0.9361763596534728,0.9358097672462464,0.0010714135998745,0.9370227456092834,0.9344747066497804,refrigerador
2024-09-25_15-00-19,0.9361763596534728,0.9356404900550842,0.0008819733633428,0.9364535808563232,0.9344747066497804,refrigerador
2024-09-25_15-00-20,0.9356619715690612,0.9358779430389405,0.0006064237306198,0.9364535808563232,0.9349214434623718,refrigerador
2024-09-25_15-00-21,0.936255931854248,0.9361448407173156,0.0002927504121037,0.9364535808563232,0.9356619715690612,refrigerador
2024-09-25_15-00-22,0.9361907243728638,0.9360922694206236,0.000242784547171,0.936255931854248,0.9356619715690612,refrigerador
2024-09-25_15-00-22,0.9351534247398376,0.9358876824378968,0.000474567262159,0.936255931854248,0.9351534247398376,refrigerador
2024-09-25_15-00-23,0.933189570903778,0.9352903246879578,0.0012562987556649,0.936255931854248,0.933189570903778,refrigerador
2024-09-25_15-00-24,0.933189570903778,0.9347958445549012,0.0015301665188397,0.936255931854248,0.933189570903778,refrigerador
2024-09-25_15-00-25,0.9334427118301392,0.9342332005500792,0.0013676540287851,0.9361907243728638,0.933189570903778,refrigerador
2024-09-25_15-00-26,0.9322357773780824,0.933442211151123,0.0010620015106817,0.9351534247398376,0.9322357773780824,refrigerador
2024-09-25_15-00-27,0.9321620464324952,0.9328439354896544,0.0005983915440264,0.9334427118301392,0.9321620464324952,refrigerador
2024-09-25_15-00-27,0.9314225316047668,0.9324905276298524,0.0008229108924233,0.9334427118301392,0.9314225316047668,refrigerador
2024-09-25_15-00-28,0.9314225316047668,0.93213711977005,0.0008270728174414,0.9334427118301392,0.9314225316047668,refrigerador
2024-09-25_15-00-29,0.9336756467819214,0.9321837067604064,0.0009203044037083,0.9336756467819214,0.9314225316047668,refrigerador
2024-09-25_15-00-30,0.9340149760246276,0.9325395464897156,0.0012354722767046,0.9340149760246276,0.9314225316047668,refrigerador
2024-09-25_15-00-31,0.934636652469635,0.9330344676971436,0.0015113056586961,0.934636652469635,0.9314225316047668,refrigerador
2024-09-25_15-00-31,0.9333488941192628,0.9334197402000428,0.0012139327285313,0.934636652469635,0.9314225316047668,refrigerador
2024-09-25_15-00-32,0.9333488941192628,0.933805012702942,0.0005404935624655,0.934636652469635,0.9333488941192628,refrigerador
2024-09-25_15-00-33,0.932174801826477,0.933504843711853,0.0009163621020688,0.934636652469635,0.932174801826477,refrigerador
2024-09-25_15-00-34,0.9312979578971864,0.9329614400863648,0.00127402418834,0.934636652469635,0.9312979578971864,refrigerador
2024-09-25_15-00-35,0.9309923648834229,0.9322325825691224,0.0011076218616335,0.9333488941192628,0.9309923648834229,refrigerador
2024-09-25_15-00-35,0.9306908249855042,0.9317009687423706,0.0010753026805476,0.9333488941192628,0.9306908249855042,refrigerador
2024-09-25_15-00-36,0.9306832551956176,0.9311678409576416,0.0006172641372133,0.932174801826477,0.9306832551956176,refrigerador
2024-09-25_15-00-37,0.9306832551956176,0.9308695316314696,0.0002738480232459,0.9312979578971864,0.9306832551956176,refrigerador
2024-09-25_15-00-38,0.9296830296516418,0.9305465459823608,0.0005006521234025,0.9309923648834229,0.9296830296516418,refrigerador
2024-09-25_15-00-39,0.9306535720825196,0.9304787874221802,0.0004450713919844,0.9306908249855042,0.9296830296516418,refrigerador
2024-09-25_15-00-40,0.9332420825958252,0.9309890389442445,0.0013305460707392,0.9332420825958252,0.9296830296516418,refrigerador
2024-09-25_15-00-40,0.9314702153205872,0.9311464309692384,0.0013318762275458,0.9332420825958252,0.9296830296516418,refrigerador
2024-09-25_15-00-41,0.9314702153205872,0.9313038229942322,0.0013097729195607,0.9332420825958252,0.9296830296516418,refrigerador
2024-09-25_15-00-42,0.9314457178115844,0.9316563606262208,0.0009531224440261,0.9332420825958252,0.9306535720825196,refrigerador
2024-09-25_15-00-43,0.9312604069709778,0.9317777276039124,0.0008233034511312,0.9332420825958252,0.9312604069709778,refrigerador
