fecha,valor_corriente,dispositivo
2024-08-16_08-46-30,0.0631762742996215,cafetera
2024-08-16_08-46-35,0.0634778439998626,cafetera
2024-08-16_08-46-37,0.063194029033184,cafetera
2024-08-16_08-46-39,0.0626013129949569,cafetera
2024-08-16_08-46-41,0.0640628337860107,cafetera
2024-08-16_08-46-46,0.0635578632354736,cafetera
2024-08-16_08-46-48,0.0627247914671897,cafetera
2024-08-16_08-46-50,0.0635184794664383,cafetera
2024-08-16_08-46-52,0.0617823526263237,cafetera
2024-08-16_08-46-57,0.063602901995182,cafetera
2024-08-16_08-46-59,0.0634781420230865,cafetera
2024-08-16_08-47-01,0.0640832930803299,cafetera
2024-08-16_08-47-03,0.0626821890473365,cafetera
2024-08-16_08-47-08,0.0630799233913421,cafetera
2024-08-16_08-47-10,0.0630526393651962,cafetera
2024-08-16_08-47-12,0.0640662759542465,cafetera
2024-08-16_08-47-14,0.0637004375457763,cafetera
2024-08-16_08-47-17,0.0622885972261428,cafetera
2024-08-16_08-47-19,0.0625735968351364,cafetera
2024-08-16_08-47-21,0.0625647976994514,cafetera
2024-08-16_08-47-23,0.063517190515995,cafetera
2024-08-16_08-47-25,0.0625296160578727,cafetera
2024-08-16_08-47-28,0.0631497055292129,cafetera
2024-08-16_08-47-30,0.0631789043545723,cafetera
2024-08-16_08-47-32,0.0618765652179718,cafetera
2024-08-16_08-47-34,0.0632024779915809,cafetera
2024-08-16_08-47-36,0.0625381469726562,cafetera
2024-08-16_08-47-39,0.0626689419150352,cafetera
2024-08-16_08-47-41,0.063213437795639,cafetera
2024-08-16_08-47-43,0.0630870163440704,cafetera
2024-08-16_08-47-45,0.0630799382925033,cafetera
2024-08-16_08-47-50,0.0623118467628955,cafetera
2024-08-16_08-47-52,0.0631426274776458,cafetera
2024-08-16_08-47-54,0.0635226145386695,cafetera
2024-08-16_08-47-56,0.0631476566195488,cafetera
2024-08-16_08-48-01,0.0625217035412788,cafetera
2024-08-16_08-48-03,0.0630871132016182,cafetera
2024-08-16_08-48-05,0.0623739436268806,cafetera
2024-08-16_08-48-07,0.063103973865509,cafetera
2024-08-16_08-48-12,0.0635171830654144,cafetera
2024-08-16_08-48-14,0.0625142678618431,cafetera
2024-08-16_08-48-16,0.0635291337966919,cafetera
2024-08-16_08-48-18,0.0626312792301178,cafetera
2024-08-16_08-48-23,0.0636455565690994,cafetera
2024-08-16_08-48-25,0.0630414932966232,cafetera
2024-08-16_08-48-27,0.0627128407359123,cafetera
2024-08-16_08-48-29,0.0627145916223526,cafetera
2024-08-16_08-48-34,0.0630633533000946,cafetera
2024-08-16_08-48-36,0.0621162764728069,cafetera
2024-08-16_08-48-38,0.0626323074102401,cafetera
2024-08-16_08-48-40,0.0631649494171142,cafetera
2024-08-16_08-48-43,0.0625185072422027,cafetera
2024-08-16_08-48-45,0.0632163137197494,cafetera
