fecha,valor_corriente,media_corriente,desviacion_corriente,corriente_max,corriente_min,dispositivo_predicho
2024-08-16_08-01-28,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-30,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-32,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-35,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-37,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-39,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-41,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-43,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-46,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-48,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-50,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-52,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-54,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-57,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-59,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-01,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-03,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-05,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-08,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-10,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-12,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-14,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-16,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-19,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-21,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-23,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-25,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-27,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-30,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-32,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-34,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-36,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-38,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-41,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-43,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-45,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-47,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-49,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-52,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-54,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-56,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-02-58,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-00,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-03,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-05,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-07,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-09,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-11,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-14,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-16,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-18,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-20,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-22,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-25,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-27,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-29,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-31,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-33,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-35,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-38,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-40,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-42,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-44,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-46,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-49,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-51,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-53,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-55,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-03-57,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-00,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-02,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-04,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-06,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-08,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-11,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-13,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-15,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-17,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-19,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-22,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-24,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-26,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-28,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-30,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-33,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-35,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-37,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-39,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-41,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-44,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-46,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-48,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-50,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-52,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-55,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-57,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-04-59,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-01,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-03,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-06,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-08,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-10,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-12,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-14,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-17,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-19,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-21,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-23,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-25,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-28,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-30,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-32,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-34,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-36,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-39,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-41,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-43,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-45,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-47,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-49,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-52,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-54,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-56,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-05-58,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-00,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-03,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-05,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-07,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-09,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-11,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-14,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-16,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-18,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-20,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-22,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-25,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-27,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-29,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-31,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-34,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-36,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-38,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-40,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-42,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-44,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-47,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-49,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-51,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-53,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-56,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-06-58,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-00,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-02,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-04,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-07,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-09,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-11,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-13,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-15,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-18,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-20,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-22,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-24,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-26,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-29,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-31,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-33,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-35,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-37,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-40,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-42,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-44,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-46,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-48,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-51,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-53,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-55,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-57,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-07-59,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-08-02,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-08-04,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-08-06,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-08-08,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-08-10,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-08-13,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-08-15,7.7884864807128915,1.5576972961425783,3.483117042542426,7.7884864807128915,5.877471754111439e-39,cafetera
2024-08-16_08-08-17,7.783686637878418,3.1144346237182616,4.264615580854239,7.7884864807128915,5.877471754111439e-39,cafetera
2024-08-16_08-08-19,7.794707298278809,4.673376083374023,4.266190956799572,7.794707298278809,5.877471754111439e-39,cafetera
2024-08-16_08-08-21,7.781330585479736,6.2296422004699705,3.482479617812434,7.794707298278809,5.877471754111439e-39,cafetera
2024-08-16_08-08-24,7.7555198669433585,7.780746173858643,0.01500149802074838,7.794707298278809,7.7555198669433585,cafetera
2024-08-16_08-08-26,7.733968257904053,7.769842529296875,0.024667759924018262,7.794707298278809,7.733968257904053,cafetera
