fecha,Corriente_linea1,media_corriente,desviacion_corriente,corriente_max,corriente_min,dispositivo_predicho
2024-09-25_15-16-14,0.2902139127254486,0.2906092464923858,0.0015171169009698,0.2930932641029358,0.2894255518913269,ventilador
2024-09-25_15-16-15,0.2897950708866119,0.2899496078491211,0.0006171502033344,0.2908879518508911,0.2894255518913269,ventilador
2024-09-25_15-16-16,0.2912817597389221,0.2900283694267273,0.0007724344236262,0.2912817597389221,0.2894255518913269,ventilador
2024-09-25_15-16-16,0.2908126711845398,0.2903057932853699,0.0007505897739135,0.2912817597389221,0.2894255518913269,ventilador
2024-09-25_15-16-17,0.2909677922725677,0.290614241361618,0.0006002617561062,0.2912817597389221,0.2897950708866119,ventilador
2024-09-25_15-16-18,0.2909677922725677,0.2907650172710418,0.0005684023792084,0.2912817597389221,0.2897950708866119,ventilador
2024-09-25_15-16-19,0.2911601066589355,0.2910380244255066,0.0001836846227738,0.2912817597389221,0.2908126711845398,ventilador
2024-09-25_15-16-20,0.2909979224205017,0.2909812569618225,0.0001235401814268,0.2911601066589355,0.2908126711845398,ventilador
2024-09-25_15-16-21,0.2900294959545135,0.2908246219158172,0.00045160930799,0.2911601066589355,0.2900294959545135,ventilador
2024-09-25_15-16-21,0.2908505797386169,0.290801179409027,0.0004453179117614,0.2911601066589355,0.2900294959545135,ventilador
2024-09-25_15-16-22,0.2908505797386169,0.2907777369022369,0.000437368540474,0.2911601066589355,0.2900294959545135,ventilador
2024-09-25_15-16-23,0.2920995354652405,0.2909656226634979,0.0007398656085202,0.2920995354652405,0.2900294959545135,ventilador
2024-09-25_15-16-24,0.2934201955795288,0.2914500772953033,0.0013266506651252,0.2934201955795288,0.2900294959545135,ventilador
2024-09-25_15-16-25,0.2920077443122864,0.2918457269668579,0.0010665664292646,0.2934201955795288,0.2908505797386169,ventilador
2024-09-25_15-16-25,0.2910908758640289,0.2918937861919403,0.0010146661431384,0.2934201955795288,0.2908505797386169,ventilador
2024-09-25_15-16-26,0.2910908758640289,0.2919418454170227,0.0009569517193882,0.2934201955795288,0.2910908758640289,ventilador
2024-09-25_15-16-27,0.2910749614238739,0.2917369306087494,0.0010222154476895,0.2934201955795288,0.2910749614238739,ventilador
2024-09-25_15-16-28,0.2906868457794189,0.2911902606487274,0.0004885577363427,0.2920077443122864,0.2906868457794189,ventilador
2024-09-25_15-16-29,0.2901368737220764,0.2908160865306853,0.0004171533803498,0.2910908758640289,0.2901368737220764,ventilador
2024-09-25_15-16-29,0.2905811369419098,0.2907141387462615,0.0003949028832353,0.2910908758640289,0.2901368737220764,ventilador
2024-09-25_15-16-30,0.2894379198551178,0.2903835475444793,0.0006253287610284,0.2910749614238739,0.2894379198551178,ventilador
2024-09-25_15-16-31,0.2894379198551178,0.2900561392307281,0.0006008996988215,0.2906868457794189,0.2894379198551178,ventilador
2024-09-25_15-16-32,0.2901804149150848,0.2899548530578613,0.0005026631683507,0.2905811369419098,0.2894379198551178,ventilador
2024-09-25_15-16-33,0.2913827300071716,0.2902040243148803,0.0008224886818089,0.2913827300071716,0.2894379198551178,ventilador
2024-09-25_15-16-34,0.2906526625156402,0.2902183294296264,0.0008312625408064,0.2913827300071716,0.2894379198551178,ventilador
2024-09-25_15-16-34,0.2911923229694366,0.2905692100524902,0.0007886741882893,0.2913827300071716,0.2894379198551178,ventilador
2024-09-25_15-16-35,0.2911923229694366,0.2909200906753539,0.0004952004746025,0.2913827300071716,0.2901804149150848,ventilador
2024-09-25_15-16-36,0.2894170582294464,0.2907674193382262,0.0008025486990526,0.2913827300071716,0.2894170582294464,ventilador
2024-09-25_15-16-37,0.2916882634162903,0.29082852602005,0.0008699158179638,0.2916882634162903,0.2894170582294464,ventilador
2024-09-25_15-16-38,0.2932159900665283,0.2913411915302276,0.0013584863907851,0.2932159900665283,0.2894170582294464,ventilador
2024-09-25_15-16-38,0.2921440601348877,0.2915315389633178,0.00139850067191,0.2932159900665283,0.2894170582294464,ventilador
