fecha,Potencia_activa_Total
2024-09-23_10-01-07.4,0.0027660876512527
2024-09-23_10-01-08.2,0.002867829054594
2024-09-23_10-01-09,0.0028214079793542
2024-09-23_10-01-09.8,0.0027931879740208
2024-09-23_10-01-10.6,0.0027931879740208
2024-09-23_10-01-11.4,0.002886006142944
2024-09-23_10-01-12.3,0.0031402576714754
2024-09-23_10-01-13.1,0.0031545308884233
2024-09-23_10-01-13.9,0.0030261008068919
2024-09-23_10-01-14.7,0.0030261008068919
2024-09-23_10-01-15.5,0.0029448929708451
2024-09-23_10-01-16.3,0.0029752098489552
2024-09-23_10-01-17.1,0.0031063789501786
2024-09-23_10-01-18,0.0032507316209375
2024-09-23_10-01-18.8,0.003108178731054
2024-09-23_10-01-19.6,0.003108178731054
2024-09-23_10-01-20.4,0.0032082230318337
2024-09-23_10-01-21.2,0.0036188475787639
2024-09-23_10-01-22,0.0036510291974991
2024-09-23_10-01-22.8,0.0037782294675707
2024-09-23_10-01-23.7,0.0037782294675707
2024-09-23_10-01-24.5,0.0035973102785646
2024-09-23_10-01-25.3,0.0037952307611703
2024-09-23_10-01-26.1,0.0034934165887534
2024-09-23_10-01-26.9,0.0034273404162377
2024-09-23_10-01-27.7,0.0034273404162377
2024-09-23_10-01-28.5,0.003501882078126
2024-09-23_10-01-29.4,0.003486372064799
2024-09-23_10-01-30.2,0.0034600966610014
2024-09-23_10-01-31,0.0034348575863987
2024-09-23_10-01-31.8,0.0033145481720566
2024-09-23_10-01-32.6,0.0033145481720566
2024-09-23_10-01-33.4,0.0032668225467205
2024-09-23_10-01-34.2,0.0031670776661485
2024-09-23_10-01-35.1,0.0029944302514195
2024-09-23_10-01-35.9,0.0034060338512063
2024-09-23_10-01-36.7,0.0034060338512063
2024-09-23_10-01-37.5,0.003320486517623
2024-09-23_10-01-38.3,0.0031316564418375
2024-09-23_10-01-39.1,0.0031667258590459
2024-09-23_10-01-39.9,0.0033151558600366
2024-09-23_10-01-40.8,0.3658437132835388
2024-09-23_10-01-41.6,0.3658437132835388
2024-09-23_10-01-42.4,0.5251530408859253
2024-09-23_10-01-43.2,0.0794964283704757
2024-09-23_10-01-44,0.0709181576967239
2024-09-23_10-01-44.8,0.0697181224822998
2024-09-23_10-01-45.6,0.0697181224822998
2024-09-23_10-01-46.5,0.0692735761404037
2024-09-23_10-01-47.3,0.0693937540054321
2024-09-23_10-01-48.1,0.069645918905735
2024-09-23_10-01-48.9,0.0694229304790496
2024-09-23_10-01-49.7,0.0694229304790496
2024-09-23_10-01-50.5,0.0690647363662719
2024-09-23_10-01-51.3,0.0690759569406509
2024-09-23_10-01-52.1,0.0693675056099891
2024-09-23_10-01-52.9,0.0692328289151191
2024-09-23_10-01-53.8,0.0696558281779289
2024-09-23_10-01-54.6,0.0696558281779289
2024-09-23_10-01-55.4,0.0682494863867759
2024-09-23_10-01-56.2,0.06852937489748
2024-09-23_10-01-57,0.0684753656387329
2024-09-23_10-01-57.8,0.0683324038982391
2024-09-23_10-01-58.6,0.0683324038982391
2024-09-23_10-01-59.5,0.0684239044785499
2024-09-23_10-02-00.3,0.0686066597700119
2024-09-23_10-02-01.1,0.0682369098067283
2024-09-23_10-02-01.9,0.0681478306651115
2024-09-23_10-02-02.7,0.0681478306651115
2024-09-23_10-02-03.5,0.067832313477993
2024-09-23_10-02-04.3,0.0681256726384162
2024-09-23_10-02-05.2,0.0680340901017189
2024-09-23_10-02-06,0.0680619031190872
2024-09-23_10-02-06.8,0.0676028206944465
2024-09-23_10-02-07.6,0.0676028206944465
2024-09-23_10-02-08.4,0.0676811560988426
2024-09-23_10-02-09.2,0.067554660141468
2024-09-23_10-02-10,0.0683788135647773
2024-09-23_10-02-10.9,0.0691445842385292
2024-09-23_10-02-11.7,0.0691445842385292
2024-09-23_10-02-12.5,0.0691047683358192
2024-09-23_10-02-13.3,0.069088265299797
2024-09-23_10-02-14.1,0.0688518434762954
2024-09-23_10-02-14.9,0.0689010098576545
