fecha,Potencia_aparente_Total
2024-09-23_10-01-29.4,0.0071402792818844
2024-09-23_10-01-30.2,0.0069088814780116
2024-09-23_10-01-31,0.0068023684434592
2024-09-23_10-01-31.8,0.0066918092779815
2024-09-23_10-01-32.6,0.0066918092779815
2024-09-23_10-01-33.4,0.0067559112794697
2024-09-23_10-01-34.3,0.0063853724859654
2024-09-23_10-01-35.1,0.0062421085312962
2024-09-23_10-01-35.9,0.0068507059477269
2024-09-23_10-01-36.7,0.0068507059477269
2024-09-23_10-01-37.5,0.0066770445555448
2024-09-23_10-01-38.3,0.006439758464694
2024-09-23_10-01-39.1,0.0064440728165209
2024-09-23_10-01-40,0.0065507520921528
2024-09-23_10-01-40.8,0.545738160610199
2024-09-23_10-01-41.6,0.545738160610199
2024-09-23_10-01-42.4,0.5797237157821655
2024-09-23_10-01-43.2,0.1099939048290252
2024-09-23_10-01-44,0.1028132662177085
2024-09-23_10-01-44.8,0.1018124967813491
2024-09-23_10-01-45.6,0.1018124967813491
2024-09-23_10-01-46.5,0.1015756353735923
2024-09-23_10-01-47.3,0.1012792587280273
2024-09-23_10-01-48.1,0.1015953049063682
2024-09-23_10-01-48.9,0.1015354692935943
2024-09-23_10-01-49.7,0.1015354692935943
2024-09-23_10-01-50.5,0.1013245806097984
2024-09-23_10-01-51.3,0.1014115214347839
2024-09-23_10-01-52.1,0.1015712097287178
2024-09-23_10-01-53,0.1012749820947647
2024-09-23_10-01-53.8,0.1016678884625434
2024-09-23_10-01-54.6,0.1016678884625434
2024-09-23_10-01-55.4,0.0958757922053337
2024-09-23_10-01-56.2,0.0955890715122222
2024-09-23_10-01-57,0.0955734848976135
2024-09-23_10-01-57.8,0.0953887775540351
2024-09-23_10-01-58.6,0.0953887775540351
2024-09-23_10-01-59.5,0.0953772142529487
2024-09-23_10-02-00.3,0.095604583621025
2024-09-23_10-02-01.1,0.0954715311527252
2024-09-23_10-02-01.9,0.0954232513904571
2024-09-23_10-02-02.7,0.0954232513904571
2024-09-23_10-02-03.5,0.0951868444681167
2024-09-23_10-02-04.3,0.0953626334667205
