Time Bucket (America/Costa_Rica),corriente
2024-08-16_08-49-47,0.06400837749242783
2024-08-16_08-49-49,0.06466571986675262
2024-08-16_08-49-51,0.06447267532348633
2024-08-16_08-49-54,0.064617820084095
2024-08-16_08-49-56,0.06409701704978943
2024-08-16_08-49-58,0.06410505622625351
2024-08-16_08-50-00,0.06499043107032776
2024-08-16_08-50-02,0.06506503373384476
2024-08-16_08-50-05,0.06459600478410721
2024-08-16_08-50-07,0.06407027691602707
2024-08-16_08-50-09,0.0636560320854187
2024-08-16_08-50-11,0.06398096680641174
2024-08-16_08-50-16,0.06271538138389587
2024-08-16_08-50-18,0.06264638900756836
2024-08-16_08-50-20,0.0627119392156601
2024-08-16_08-50-22,0.0634879469871521
2024-08-16_08-50-27,0.06317658722400665
2024-08-16_08-50-29,0.06466320902109146
2024-08-16_08-50-31,0.06362585723400116
2024-08-16_08-50-33,0.06231832876801492
2024-08-16_08-50-38,0.06368902325630188
2024-08-16_08-50-40,0.06365817785263063
2024-08-16_08-50-42,0.06420203298330307
2024-08-16_08-50-44,0.06496623903512955
2024-08-16_08-50-49,0.06267239153385162
