Consumo_T,Corriente_R,Corriente_V
0.383480508,0.054689694,0.328790814
0.389870394,0.054689694,0.3351807
0.391406711,0.054340865,0.337065846
0.389327604,0.05735882,0.331968784
0.385832015,0.053220395,0.33261162
0.38621122,0.0535996,0.33261162
0.385132883,0.0535996,0.331533283
0.383970607,0.057039339,0.326931268
0.380115598,0.056833178,0.323282421
0.376570698,0.054154333,0.322416365
0.372166697,0.052027915,0.320138782
0.372166697,0.052027915,0.320138782
0.371883441,0.053354997,0.318528444
0.373523533,0.054229528,0.319294006
0.372507505,0.052221797,0.320285708
0.374501623,0.049015112,0.325486511
0.37557143,0.050084919,0.325486511
0.379758656,0.050084919,0.329673737
0.380946774,0.049989183,0.330957592
0.378831286,0.050375808,0.328455478
0.372284997,0.049445469,0.322839528
0.371320739,0.048481211,0.322839528
0.380385622,0.048481211,0.331904411
0.383203212,0.050665472,0.33253774
0.387251385,0.054080881,0.333170503
0.389346566,0.054214504,0.335132062
0.382795695,0.051420931,0.331374764
0.387057237,0.055682473,0.331374764
0.381927036,0.055682473,0.326244563
0.383306358,0.058708761,0.324597597
0.384833131,0.056475911,0.32835722
0.383044735,0.056159899,0.326884836
0.384963673,0.058078837,0.326884836
0.38466255,0.058078837,0.326583713
0.383404747,0.057940349,0.325464398
0.378342994,0.05270911,0.325633883
0.376604106,0.050158139,0.326445967
0.378408857,0.05196289,0.326445967
0.378310658,0.05196289,0.326347768
0.37809277,0.052081499,0.32601127
0.379469633,0.054364055,0.325105578
0.37492758,0.050059557,0.324868023
0.378326673,0.052242983,0.32608369
0.383591,0.05750731,0.32608369
0.385060582,0.05750731,0.327553272
0.381520122,0.055569053,0.32595107
0.379900068,0.054646969,0.325253099
0.384667363,0.059609082,0.325058281
0.38390569,0.058847409,0.325058281
0.386018913,0.058847409,0.327171504
0.385748889,0.058603372,0.327145517
0.387297969,0.059213381,0.328084588
0.386412792,0.05849012,0.327922672
0.388164453,0.057953767,0.330210686
0.387318559,0.057107873,0.330210686
0.390625246,0.057107873,0.333517373
0.393394236,0.056514505,0.33687973
0.391865525,0.055095706,0.336769819
0.393597711,0.055698026,0.337899685
0.393993892,0.056094207,0.337899685
0.38943059,0.056094207,0.333336383
0.395157348,0.057814877,0.337342471
0.384062964,0.057553012,0.326509953
0.382258337,0.054286491,0.327971846
0.378528133,0.050556287,0.327971846
0.37975423,0.050556287,0.329197943
0.379010197,0.049452092,0.329558104
0.382289439,0.05183062,0.33045882
0.387368139,0.054060902,0.333307236
0.388430491,0.055123255,0.333307236
0.393756032,0.058581799,0.335174233
0.392246187,0.058581799,0.333664387
0.392249916,0.057142798,0.335107118
0.388903473,0.056292567,0.332610905
0.387636706,0.056205973,0.331430733
0.380052622,0.048621889,0.331430733
0.380229767,0.048621889,0.331607878
0.381670933,0.049332093,0.33233884
0.383267954,0.050699607,0.332568347
0.382897601,0.050640032,0.332257569
0.386667337,0.054409768,0.332257569
0.382298615,0.054409768,0.327888846
0.377784237,0.050800577,0.32698366
0.3801843,0.049323477,0.330860823
0.385842476,0.052303705,0.333538771
0.383440815,0.052352391,0.331088424
0.386235368,0.055146944,0.331088424
0.386453312,0.055146944,0.331306368
0.380185843,0.053981364,0.326204479
0.379337188,0.054718342,0.324618846
0.382200669,0.056428533,0.325772136
0.376976013,0.051203877,0.325772136
0.378558517,0.051203877,0.32735464
0.383985929,0.056052111,0.327933818
0.381325867,0.052862789,0.328463078
0.382870816,0.053013735,0.329857081
0.383719448,0.053862367,0.329857081
0.383912269,0.053862367,0.330049902
0.383790653,0.053690743,0.33009991
0.388755411,0.05822888,0.330526531
0.38636956,0.05761585,0.32875371
0.386789508,0.057708628,0.32908088
0.38663847,0.05755759,0.32908088
0.387245126,0.05755759,0.329687536
0.393499844,0.057545237,0.335954607
0.392061699,0.056078631,0.335983068
0.391514894,0.056557473,0.334957421
0.386215806,0.051258385,0.334957421
0.389075577,0.051258385,0.337817192
0.387638945,0.049001176,0.338637769
0.388652749,0.049958862,0.338693887
0.390639469,0.051885024,0.338754445
0.388304118,0.050833169,0.337470949
0.388304118,0.050833169,0.337470949
0.383744851,0.050388053,0.333356798
0.387283236,0.050731689,0.336551547
0.387247335,0.050402682,0.336844653
0.385811847,0.048695665,0.337116182
0.386684902,0.04956872,0.337116182
0.387011804,0.04956872,0.337443084
0.385147069,0.049309496,0.335837573
0.38650988,0.049515858,0.336994022
0.38738367,0.049634695,0.337748975
0.385529399,0.047780424,0.337748975
0.382824123,0.047780424,0.335043699
0.390109975,0.052925516,0.337184459
0.394872457,0.057955503,0.336916953
0.391276948,0.053610407,0.337666541
0.392924652,0.055660859,0.337263793
0.395671133,0.05840734,0.337263793
0.3932097,0.05840734,0.334802359
0.390696689,0.053772613,0.336924076
0.394864842,0.056945875,0.337918967
0.390581865,0.054817546,0.335764319
0.390574306,0.054809988,0.335764319
