Consumo_T, Mains_A, Mains_B, Mains_C, AC Sala Maestros 1, AC Direccion 1, AC Rack, AC Aula Medios, Tab Secundario L1, Tab Secundario L2, Tab Secundario L3, AC Sala Maestros 2, AC Direccion 2, AC Sala Juntas, AC Cubiculos,Aula_Medios_Pred,Cubiculos_Pred,Direccion1_Pred,Direccion2_Pred,Rack_Pred,Sala_Juntas_Pred,Maestros1_Pred,Maestros2_Pred,Tab_L1_Pred,Tab_L2_Pred,Tab_L3_Pred
8.8527,2.0659,1.9027,0.4285,0.0088,0.0217,0.5707,0.0142,0.1278,0.4421,0.2126,2.926,0.0244,0.1073,0.0,0.014471999999999994,1.4367360000000005,0.020968000000000018,0.02485600000000001,0.23951200000000014,0.10396800000000005,0.22495199999999996,1.0948559999999983,0.16556799999999988,0.6633799999999997,0.4466600000000001
8.9599,2.0935,1.9291,0.4315,0.0079,0.0221,0.5772,0.0146,0.1276,0.4391,0.2126,2.9728,0.0249,0.107,0.0,0.3395830000000006,0.043806000000000005,0.021830000000000006,0.025093000000000004,0.5198869999999997,0.10729799999999994,0.12947399999999976,2.510128000000002,0.11831699999999985,0.47083200000000075,0.20747499999999974
8.8804,2.0609,1.9095,0.4357,0.0081,0.022,0.5869,0.0145,0.1278,0.4425,0.2124,2.9247,0.0248,0.1106,0.0,0.13083700000000012,0.640899,0.021302000000000012,0.024971999999999977,0.4712990000000002,0.10499300000000003,0.037126000000000006,1.9856630000000017,0.2340749999999998,0.4877580000000006,0.32434599999999975
8.8237,2.047,1.8965,0.4313,0.0089,0.0222,0.5777,0.0142,0.1286,0.4463,0.2132,2.9054,0.0248,0.1076,0.0,0.014171999999999994,0.07901999999999999,0.021477000000000017,0.024497999999999985,0.49113000000000034,0.10586199999999991,0.14071800000000015,2.6841669999999955,0.11181800000000003,0.5544350000000008,0.20605500000000013
8.7819,2.039,1.887,0.4283,0.0085,0.022,0.5721,0.0144,0.1283,0.4445,0.2128,2.8933,0.0247,0.107,0.0,0.014477999999999986,0.311383,0.022017999999999992,0.024932999999999986,0.5302949999999995,0.10696700000000002,0.008494999999999996,2.549276000000004,0.1308819999999999,0.4480139999999998,0.2821040000000004
8.8083,2.0458,1.8941,0.4315,0.0073,0.0221,0.579,0.0141,0.1278,0.4414,0.2125,2.9006,0.0249,0.1072,0.0,0.01458799999999999,2.384861999999996,0.021926000000000015,0.02627400000000002,0.3062640000000002,0.1061709999999999,0.008532000000000003,0.27101799999999976,0.120708,0.37115999999999977,0.7924540000000004
8.7284,2.0468,1.8965,0.4321,0.0073,0.0219,0.5805,0.0143,0.1274,0.4376,0.2122,2.9034,0.0248,0.0236,0.0,0.014663999999999995,0.8780470000000006,0.02207100000000001,0.025380999999999983,0.4367750000000003,0.053516,0.008494999999999983,1.8905880000000013,0.14754599999999982,0.4579220000000004,0.43227100000000035
8.8387,2.0528,1.9031,0.434,0.0072,0.0218,0.5851,0.0141,0.1273,0.4372,0.2125,2.9118,0.0247,0.1071,0.0,0.013509999999999987,0.20524799999999999,0.021000000000000036,0.025022000000000037,0.30963500000000044,0.106894,0.4593630000000001,2.3979240000000015,0.08325600000000014,0.6214299999999997,0.1609749999999999
8.8798,2.0426,1.9148,0.4524,0.0067,0.0216,0.6225,0.0144,0.1272,0.4346,0.212,2.8996,0.0247,0.1067,0.0,0.13083700000000012,0.640899,0.021302000000000012,0.024971999999999977,0.4712990000000002,0.10499300000000003,0.037126000000000006,1.9856630000000017,0.2340749999999998,0.4877580000000006,0.32434599999999975
8.9449,2.0488,1.9308,0.4629,0.0093,0.0217,0.6435,0.0143,0.1267,0.4334,0.212,2.9096,0.0249,0.107,0.0,0.6352719999999998,0.043806000000000005,0.021583000000000036,0.02508400000000001,0.6036370000000004,0.10676899999999993,0.060859999999999984,2.2179330000000013,0.12857299999999983,0.4337299999999996,0.22093499999999977
1.5987,0.339,0.378,0.079,0.0005,0.0047,0.134,0.0025,0.0088,0.0032,0.0228,0.5988,0.0051,0.0223,0.0,0.007971474999999995,0.0,0.015916091666666653,0.01799965833333334,0.1635285583333333,0.07539487500000008,0.0018406499999999999,0.23661981666666684,0.15419538333333363,0.037932883333333355,0.13925284166666674
1.5987,0.339,0.378,0.079,0.0005,0.0047,0.134,0.0025,0.0088,0.0032,0.0228,0.5988,0.0051,0.0223,0.0,0.007971474999999995,0.0,0.015916091666666653,0.01799965833333334,0.1635285583333333,0.07539487500000008,0.0018406499999999999,0.23661981666666684,0.15419538333333363,0.037932883333333355,0.13925284166666674
7.8612,1.7004,1.8228,0.3886,0.0043,0.0223,0.6357,0.0122,0.0562,0.0883,0.1193,2.8797,0.0246,0.1068,0.0,0.012748999999999993,0.6288249999999997,0.02230799999999999,0.025108999999999982,0.4929749999999998,0.10650299999999989,0.00515300000000001,2.1068150000000028,0.10637600000000001,0.17456100000000002,0.26958699999999974
